das Kleid	dress (noun)
dress (noun)	das Kleid
Paula trägt gern Kleider	Paula likes to wear dresses
Paula likes to wear dresses	Paula trägt gern Kleider
Das Paar feiert Hochzeit	The couple celebrates their wedding
The couple celebrates their wedding	Das Paar feiert Hochzeit
Ich habe Kaffee getrunken, nachdem ich aufgestanden war	I drank coffee after I got up
I drank coffee after I got up	Ich habe Kaffee getrunken, nachdem ich aufgestanden war
Übe neue Wörter!	Practice new words!
Practice new words!	Übe neue Wörter!
Ich habe einen Kuchen gebacken, nachdem ich gesaugt hatte	I baked a cake after vacuuming
I baked a cake after vacuuming	Ich habe einen Kuchen gebacken, nachdem ich gesaugt hatte
Ich bin zur Arbeit gegangen, nachdem ich meine Zähne geputzt hatte	I went to work after brushing my teeth
I went to work after brushing my teeth	Ich bin zur Arbeit gegangen, nachdem ich meine Zähne geputzt hatte
Bevor er zur Arbeit gegangen ist, hatte er Zeitung gelesen	Before he went to work, he read the newspaper
Before he went to work, he read the newspaper	Bevor er zur Arbeit gegangen ist, hatte er Zeitung gelesen
Bevor sie ins Restaurant gegangen sind, hatten sie schon lange auf ihn gewartet	Before they went to the restaurant, they had been waiting for him for a long time
Before they went to the restaurant, they had been waiting for him for a long time	Bevor sie ins Restaurant gegangen sind, hatten sie schon lange auf ihn gewartet
Viele Freunde sind zur Hochzeit gekommen	Many friends came to the wedding
Many friends came to the wedding	Viele Freunde sind zur Hochzeit gekommen
Beim ersten Date, hatte Tim Marie ins Restaurant ausgeführt	On the first date, Tim took Marie to the restaurant
On the first date, Tim took Marie to the restaurant	Beim ersten Date, hatte Tim Marie ins Restaurant ausgeführt
Vor einem Jahr hatten sie sich verlobt / verliebt / kennengelernt / getroffen	A year ago they had got engaged / fallen in love / got to know each other / been going out
A year ago they had got engaged / fallen in love / got to know each other / been going out	Vor einem Jahr hatten sie sich verlobt / verliebt / kennengelernt / getroffen
Sie haben sich in der Uni kennengelernt / getroffen / verliebt	They got to know each other / been going out / fallen in love at university
They got to know each other / been going out / fallen in love at university	Sie haben sich in der Uni kennengelernt / getroffen / verliebt
Regnet es heute? Brauchen wir einen Regenschirm?	Is it raining today? Do we need an umbrella?
Is it raining today? Do we need an umbrella?	Regnet es heute? Brauchen wir einen Regenschirm?
Keine Ahnung. Ich weiß nicht, ob es heute regnet	No idea. I don't know if it will rain today
No idea. I don't know if it will rain today	Keine Ahnung. Ich weiß nicht, ob es heute regnet
Ist Deutsch schwer für dich?	Is German difficult for you?
Is German difficult for you?	Ist Deutsch schwer für dich?
Was ist beim Deutschlernen einfach?	What is easy about learning German?
