Wahr	True
True	Wahr
Ein Diphthong besteht aus zwei Vokalen, die gemeinsam gesprochen werden	A diphthong consists of two vowels spoken together
A diphthong consists of two vowels spoken together	Ein Diphthong besteht aus zwei Vokalen, die gemeinsam gesprochen werden
Was ist kein Diphthong? --> ie	What is not a diphthong? --> "ie"
What is not a diphthong? --> "ie"	Was ist kein Diphthong? --> ie
Welches Wort hat keinen Diphthong? Beziehung. Richtig! Hier wird ein langes "i" gesprochen	Which word does not have a diphthong? Relationship. Right! A long "i" is spoken here
Which word does not have a diphthong? Relationship. Right! A long "i" is spoken here	Welches Wort hat keinen Diphthong? Beziehung. Richtig! Hier wird ein langes "i" gesprochen
Welcher Diphthong ist mit äu lautlich gleich? --> eu	Which diphthong is phonetically the same as "äu"? --> "eu"
Which diphthong is phonetically the same as "äu"? --> "eu"	Welcher Diphthong ist mit äu lautlich gleich? --> eu
Welches Wört enthält einen Diphthong? --> Häuser	Which word contains a diphthong? --> houses
Which word contains a diphthong? --> houses	Welches Wört enthält einen Diphthong? --> Häuser
Wie werden ü, ä und ö auch genannt? --> Umlaute	What are ü, ä and ö also called? --> umlauts
What are ü, ä and ö also called? --> umlauts	Wie werden ü, ä und ö auch genannt? --> Umlaute
Markiere alle Diphthonge (Zwielaute) der deutschen Sprache. --> eu äu ei au	Mark all diphthongs (Zwielaute) of the German language. --> eu äu ei au
Mark all diphthongs (Zwielaute) of the German language. --> eu äu ei au	Markiere alle Diphthonge (Zwielaute) der deutschen Sprache. --> eu äu ei au
Dieser Sommer war zu heiß!	This summer was too hot!
This summer was too hot!	Dieser Sommer war zu heiß!
Meine Maiskolben sind alle verbrannt	My corn cobs are all burned
My corn cobs are all burned	Meine Maiskolben sind alle verbrannt
Auch viele Bäume haben nicht überlebt	Many trees did not survive either
Many trees did not survive either	Auch viele Bäume haben nicht überlebt
Nur meine Blumen sind noch da	Only my flowers are still there
Only my flowers are still there	Nur meine Blumen sind noch da
Aber das ist nur eine Frage der Zeit	But that's only a matter of time
But that's only a matter of time	Aber das ist nur eine Frage der Zeit
Eine wundervolle Ehe	A wonderful marriage
A wonderful marriage	Eine wundervolle Ehe
Ich habe meinen geliebten Mann vor drei Jahren geheiratet	I married my beloved husband three years ago
I married my beloved husband three years ago	Ich habe meinen geliebten Mann vor drei Jahren geheiratet
Danach feierten wir eine große Party in dem schönen Gebäude im Park	After that we had a big party in the beautiful building in the park
After that we had a big party in the beautiful building in the park	Danach feierten wir eine große Party in dem schönen Gebäude im Park
Das wichtigste in einer Ehe ist Vertrauen	The most important thing in a marriage is trust
The most important thing in a marriage is trust	Das wichtigste in einer Ehe ist Vertrauen
Zum Hochzeitstag schenkt er mir immer Blumen und ich muss vor Freude weinen	He always gives me flowers on our wedding anniversary and I cry with joy
He always gives me flowers on our wedding anniversary and I cry with joy	Zum Hochzeitstag schenkt er mir immer Blumen und ich muss vor Freude weinen
Ich habe zwei Häuser auf dem Land	I have two houses in the country
I have two houses in the country	Ich habe zwei Häuser auf dem Land
Heute habe ich Lust auf Pommes Frites!	Today I want french fries!
Today I want french fries!	Heute habe ich Lust auf Pommes Frites!
Eigentlich sind Mäuse doch ganz niedlich!	Mice are actually quite cute!
Mice are actually quite cute!	Eigentlich sind Mäuse doch ganz niedlich!
