Präpositionen mit Akkusativ	bis, durch, für, ohne, gegen, um
bis, durch, für, ohne, gegen, um	Präpositionen mit Akkusativ
Präpositionen mit Dativ	ab, aus, bei, mit, nach, seit, von, zu
ab, aus, bei, mit, nach, seit, von, zu	Präpositionen mit Dativ
"von" und "zu" werden mit Personen, Institutionen und Gebäuden verwendet	"from" and "to" are used with people, institutions, and buildings
"from" and "to" are used with people, institutions, and buildings	"von" und "zu" werden mit Personen, Institutionen und Gebäuden verwendet
"aus" und "nach" werden mit Ländern und Städten verwendet	"from" and "to" are used with countries and cities
"from" and "to" are used with countries and cities	"aus" und "nach" werden mit Ländern und Städten verwendet
Ich kann die Verwendung von Dativ- und Akkusativpräpositionen erklären	I can explain the use of dative and accusative prepositions
I can explain the use of dative and accusative prepositions	Ich kann die Verwendung von Dativ- und Akkusativpräpositionen erklären
Ich kann Sätze mit Dativ- und Akkusativpräpositionen korrekt bilden	I can correctly form sentences with dative and accusative prepositions
I can correctly form sentences with dative and accusative prepositions	Ich kann Sätze mit Dativ- und Akkusativpräpositionen korrekt bilden
Aufwärmen	warm up
warm up	Aufwärmen
Fährst du ohne ein Ticket?	Are you driving without a ticket? (singular)
Are you driving without a ticket? (singular)	Fährst du ohne ein Ticket?
Das direkte Objekt steht im Akkusativ	The direct object is in the accusative
The direct object is in the accusative	Das direkte Objekt steht im Akkusativ
Der Zug fährt durch den Wald	The train drives through the forest
The train drives through the forest	Der Zug fährt durch den Wald
1,20 Euro sind genug für einen Kaffee	1.20 euros is enough for a coffee
1.20 euros is enough for a coffee	1,20 Euro sind genug für einen Kaffee
Ohne einen Kaffee kann ich nicht arbeiten	I can't work without a coffee
I can't work without a coffee	Ohne einen Kaffee kann ich nicht arbeiten
Er fuhr mit dem Fahrrad gegen einen Baum	He rode his bike into a tree
He rode his bike into a tree	Er fuhr mit dem Fahrrad gegen einen Baum
Er fuhr mit dem Fahrrad um das Haus	He rode his bike around the house
He rode his bike around the house	Er fuhr mit dem Fahrrad um das Haus
Ohne dich war der Urlaub langweilig!	Without you the holiday was boring! (singular)
Without you the holiday was boring! (singular)	Ohne dich war der Urlaub langweilig!
Er ist gegen Nüsse allergisch	He is allergic to nuts
He is allergic to nuts	Er ist gegen Nüsse allergisch
Ich kümmere mich gern um dich	I like taking care of you (singular)
I like taking care of you (singular)	Ich kümmere mich gern um dich
Das indirekte Objekt steht im Dativ. Oft ist dieses Objekt der Empfänger	The indirect object is in the dative. Often this object is the recipient
The indirect object is in the dative. Often this object is the recipient	Das indirekte Objekt steht im Dativ. Oft ist dieses Objekt der Empfänger
Ich mache ab Montag eine Diät	I'm going on a diet starting Monday
I'm going on a diet starting Monday	Ich mache ab Montag eine Diät
Wann kommt Paul aus der Schule?	When does Paul get home from school?
When does Paul get home from school?	Wann kommt Paul aus der Schule?
Gestern war ich bei Lisa	Yesterday I was with Lisa
Yesterday I was with Lisa	Gestern war ich bei Lisa
Besonderheiten	particularities
particularities	Besonderheiten
Ich komme vom Arzt. Ich komme aus Frankreich	I come from the doctor. I come from france
I come from the doctor. I come from france	Ich komme vom Arzt. Ich komme aus Frankreich
Ich gehe zum Arzt. Ich fahre nach Frankreich	I go to the doctor. I go to France
I go to the doctor. I go to France	Ich gehe zum Arzt. Ich fahre nach Frankreich
Ich komme aus der Schweiz	I come from Switzerland
I come from Switzerland	Ich komme aus der Schweiz
Ab morgen mache ich mehr Sport	Starting tomorrow I'll do more sport
Starting tomorrow I'll do more sport	Ab morgen mache ich mehr Sport
In welchem Kasus stehen die Wörter? Setze sie in der richtigen Form ein	What case are the words in? Put them in the correct form
What case are the words in? Put them in the correct form	In welchem Kasus stehen die Wörter? Setze sie in der richtigen Form ein
Ich gehe für meine Nachbarin einkaufen	I go shopping for my neighbor
I go shopping for my neighbor	Ich gehe für meine Nachbarin einkaufen
Du wirfst den Ball gegen die Wand	You throw the ball against the wall (singular)
You throw the ball against the wall (singular)	Du wirfst den Ball gegen die Wand
Seit dem Gewitter ist es kalt draußen	It's cold outside since the thunderstorm
It's cold outside since the thunderstorm	Seit dem Gewitter ist es kalt draußen
Ich werde heute bei meiner Freundin sein	I will be with my girlfriend today
I will be with my girlfriend today	Ich werde heute bei meiner Freundin sein
Er joggt um den See	He jogs around the lake
He jogs around the lake	Er joggt um den See
