Präpositionen mit Akkusativ	bis, durch, für, ohne, gegen, um
bis, durch, für, ohne, gegen, um	Präpositionen mit Akkusativ
Präpositionen mit Dativ	ab, aus, bei, mit, nach, seit, von, zu
ab, aus, bei, mit, nach, seit, von, zu	Präpositionen mit Dativ
"von" und "zu" werden mit Personen, Institutionen und Gebäuden verwendet	"von" and "zu" are used with people, institutions, and buildings
"von" and "zu" are used with people, institutions, and buildings	"von" und "zu" werden mit Personen, Institutionen und Gebäuden verwendet
"aus" und "nach" werden mit Ländern und Städten verwendet	"aus" and "nach" are used with countries and cities
"aus" and "nach" are used with countries and cities	"aus" und "nach" werden mit Ländern und Städten verwendet
Ich kann die Verwendung von Dativ- und Akkusativpräpositionen erklären	I can explain the use of dative and accusative prepositions
I can explain the use of dative and accusative prepositions	Ich kann die Verwendung von Dativ- und Akkusativpräpositionen erklären
Ich kann Sätze mit Dativ- und Akkusativpräpositionen korrekt bilden	I can correctly form sentences with dative and accusative prepositions
I can correctly form sentences with dative and accusative prepositions	Ich kann Sätze mit Dativ- und Akkusativpräpositionen korrekt bilden
Aufwärmen	warm up
warm up	Aufwärmen
Fährst du ohne ein Ticket?	Are you driving without a ticket? (singular)
Are you driving without a ticket? (singular)	Fährst du ohne ein Ticket?
Das direkte Objekt steht im Akkusativ	The direct object is in the accusative
The direct object is in the accusative	Das direkte Objekt steht im Akkusativ
Der Zug fährt durch den Wald	The train drives through the forest
The train drives through the forest	Der Zug fährt durch den Wald
1,20 Euro sind genug für einen Kaffee	1.20 euros is enough for a coffee
1.20 euros is enough for a coffee	1,20 Euro sind genug für einen Kaffee
Ohne einen Kaffee kann ich nicht arbeiten	I can't work without a coffee
I can't work without a coffee	Ohne einen Kaffee kann ich nicht arbeiten
Er fuhr mit dem Fahrrad gegen einen Baum	He rode his bike into a tree
He rode his bike into a tree	Er fuhr mit dem Fahrrad gegen einen Baum
Er fuhr mit dem Fahrrad um das Haus	He rode his bike around the house
He rode his bike around the house	Er fuhr mit dem Fahrrad um das Haus
Ohne dich war der Urlaub langweilig!	Without you the holiday was boring! (singular)
Without you the holiday was boring! (singular)	Ohne dich war der Urlaub langweilig!
Er ist gegen Nüsse allergisch	He is allergic to nuts
He is allergic to nuts	Er ist gegen Nüsse allergisch
Ich kümmere mich gern um dich	I like taking care of you (singular)
I like taking care of you (singular)	Ich kümmere mich gern um dich
Das indirekte Objekt steht im Dativ. Oft ist dieses Objekt der Empfänger	The indirect object is in the dative. Often this object is the recipient
The indirect object is in the dative. Often this object is the recipient	Das indirekte Objekt steht im Dativ. Oft ist dieses Objekt der Empfänger
Ich mache ab Montag eine Diät	I'm going on a diet starting Monday
I'm going on a diet starting Monday	Ich mache ab Montag eine Diät
Wann kommt Paul aus der Schule?	When does Paul get home from school?
When does Paul get home from school?	Wann kommt Paul aus der Schule?
Gestern war ich bei Lisa	Yesterday I was with Lisa
Yesterday I was with Lisa	Gestern war ich bei Lisa
Besonderheiten	particularities
particularities	Besonderheiten
Ich komme vom Arzt. Ich komme aus Frankreich	I come from the doctor. I come from france
I come from the doctor. I come from france	Ich komme vom Arzt. Ich komme aus Frankreich
Ich gehe zum Arzt. Ich fahre nach Frankreich	I go to the doctor. I go to France
I go to the doctor. I go to France	Ich gehe zum Arzt. Ich fahre nach Frankreich
Ich komme aus der Schweiz	I come from Switzerland
I come from Switzerland	Ich komme aus der Schweiz
Ab morgen mache ich mehr Sport	Starting tomorrow I'll do more sport
Starting tomorrow I'll do more sport	Ab morgen mache ich mehr Sport
In welchem Kasus stehen die Wörter? Setze sie in der richtigen Form ein	What case are the words in? Put them in the correct form
What case are the words in? Put them in the correct form	In welchem Kasus stehen die Wörter? Setze sie in der richtigen Form ein
Ich gehe für meine Nachbarin einkaufen	I go shopping for my neighbor
I go shopping for my neighbor	Ich gehe für meine Nachbarin einkaufen
Du wirfst den Ball gegen die Wand	You throw the ball against the wall (singular)
You throw the ball against the wall (singular)	Du wirfst den Ball gegen die Wand
Seit dem Gewitter ist es kalt draußen	It's cold outside since the thunderstorm
It's cold outside since the thunderstorm	Seit dem Gewitter ist es kalt draußen
Ich werde heute bei meiner Freundin sein	I will be with my girlfriend today
I will be with my girlfriend today	Ich werde heute bei meiner Freundin sein
Er joggt um den See	He jogs around the lake
He jogs around the lake	Er joggt um den See
Sie war in Gedanken und lief gegen die Wand	She was in thought and ran into the wall
She was in thought and ran into the wall	Sie war in Gedanken und lief gegen die Wand
Jeden Morgen joggt Micha durch den Wald	Micha jogs through the forest every morning
Micha jogs through the forest every morning	Jeden Morgen joggt Micha durch den Wald
Ab nächster Woche arbeite ich bei Lingoda	Starting next week I'll be working at Lingoda
Starting next week I'll be working at Lingoda	Ab nächster Woche arbeite ich bei Lingoda
Kathy wollte schon immer mal nach Frankreich reisen	Kathy has always wanted to travel to France
Kathy has always wanted to travel to France	Kathy wollte schon immer mal nach Frankreich reisen
Janina bleibt noch bis März mit dem Baby zu Hause	Janina will stay at home with the baby until March
Janina will stay at home with the baby until March	Janina bleibt noch bis März mit dem Baby zu Hause
Ohne meinen Freund gehe ich nicht ins Kino	I don't go to the cinema without my friend
I don't go to the cinema without my friend	Ohne meinen Freund gehe ich nicht ins Kino
Ich komme nachher zu dir	I'll come to you later
I'll come to you later	Ich komme nachher zu dir
Er kommt heute Abend von der Arbeit zurück	He's coming back from work tonight
He's coming back from work tonight	Er kommt heute Abend von der Arbeit zurück
Ich habe ein Geschenk für ihn	I have a present for him
I have a present for him	Ich habe ein Geschenk für ihn
Klausi schläft heute bei seiner Oma	Klausi is sleeping with his grandma today
Klausi is sleeping with his grandma today	Klausi schläft heute bei seiner Oma
Woher kommst du? – Ich komme aus Frankreich	Where do you come from? - I'm from France
Where do you come from? - I'm from France	Woher kommst du? – Ich komme aus Frankreich
Wohin fährst du? – Ich fahre nach Frankreich	Where are you driving to? - I drive to France
Where are you driving to? - I drive to France	Wohin fährst du? – Ich fahre nach Frankreich
Wir kaufen im Supermarkt ein	We buy grocery at the supermarket
We buy grocery at the supermarket	Wir kaufen im Supermarkt ein
Paul stellt das Buch in das Regal	Paul puts the book on the shelf
Paul puts the book on the shelf	Paul stellt das Buch in das Regal
Die Brille liegt auf dem Tisch	The glasses are on the table
The glasses are on the table	Die Brille liegt auf dem Tisch
Im Wald kann man viele Tiere beobachten	In the forest you can see many animals
In the forest you can see many animals	Im Wald kann man viele Tiere beobachten
Zwischen zwei Büschen sitzt ein kleiner Hase	A little rabbit is sitting between two bushes
A little rabbit is sitting between two bushes	Zwischen zwei Büschen sitzt ein kleiner Hase
"ab" ist keine Wechselpräposition	"ab" is not an alternating preposition
"ab" is not an alternating preposition	"ab" ist keine Wechselpräposition
"neben" ist eine Wechselpräposition	"neben" is an alternating preposition
"neben" is an alternating preposition	"neben" ist eine Wechselpräposition
"für" ist keine Wechselpräposition	"für" is not an alternating preposition
"für" is not an alternating preposition	"für" ist keine Wechselpräposition
"hinter" ist eine Wechselpräposition	"hinter" is an alternating preposition
"hinter" is an alternating preposition	"hinter" ist eine Wechselpräposition
"unter" ist eine Wechselpräposition	"unter" is an alternating preposition
"unter" is an alternating preposition	"unter" ist eine Wechselpräposition
Am nächsten Tag gehen Tom und Mia zu Paula	The next day Tom and Mia go to Paula
The next day Tom and Mia go to Paula	Am nächsten Tag gehen Tom und Mia zu Paula
Paula ist eine Mitschülerin von ihnen	Paula is one of their classmates
Paula is one of their classmates	Paula ist eine Mitschülerin von ihnen
Bei Paula machen sie Hausaufgaben	They do their homework with Paula
They do their homework with Paula	Bei Paula machen sie Hausaufgaben
Dazu brauchen sie Bücher aus dem Regal	For this they need books from the shelf
For this they need books from the shelf	Dazu brauchen sie Bücher aus dem Regal
Nach den Hausaufgaben stellt Paula die Bücher wieder zurück ins Regal	After her homework, Paula puts the books back on the shelf
After her homework, Paula puts the books back on the shelf	Nach den Hausaufgaben stellt Paula die Bücher wieder zurück ins Regal
Anschließend spielen sie im Garten	Then they play in the garden
Then they play in the garden	Anschließend spielen sie im Garten
Hinter einem Baum entdecken sie einen Igel	They discover a hedgehog behind a tree
They discover a hedgehog behind a tree	Hinter einem Baum entdecken sie einen Igel
Auf einem anderen Baum sehen sie einen Vogel	On another tree they see a bird
On another tree they see a bird	Auf einem anderen Baum sehen sie einen Vogel
Es gibt viel zu entdecken im Garten	There is a lot to discover in the garden
There is a lot to discover in the garden	Es gibt viel zu entdecken im Garten
Du stehst auf der Treppe	You are standing on the stairs
You are standing on the stairs	Du stehst auf der Treppe
Ich stelle die Blumen neben das Buch	I put the flowers next to the book
I put the flowers next to the book	Ich stelle die Blumen neben das Buch
Die Lampe hängt an der Decke	The lamp hangs from the ceiling
The lamp hangs from the ceiling	Die Lampe hängt an der Decke
Sie setzt sich an den Tisch	She sits down at the table
She sits down at the table	Sie setzt sich an den Tisch
Er legte das Handy neben die Zeitung	He put the phone down next to the newspaper
He put the phone down next to the newspaper	Er legte das Handy neben die Zeitung
An der Wand hängen viele Bilder	There are many pictures hanging on the wall
There are many pictures hanging on the wall	An der Wand hängen viele Bilder
Neben dem Computer liegt eine Zeitung	There is a newspaper next to the computer
There is a newspaper next to the computer	Neben dem Computer liegt eine Zeitung
Mit wem fahren sie nach Hause?	Who are you going home with?
Who are you going home with?	Mit wem fahren sie nach Hause?
Wovon erzählen sie ihren Eltern?	What do they tell their parents about?
What do they tell their parents about?	Wovon erzählen sie ihren Eltern?
Er hängt ihre Mäntel in den Kleiderschrank	He hangs their coats in the closet
He hangs their coats in the closet	Er hängt ihre Mäntel in den Kleiderschrank
Wir setzen uns auf den Stuhl	We sit on the chair
We sit on the chair	Wir setzen uns auf den Stuhl
Ich gehe nach Hause	I go home
I go home	Ich gehe nach Hause
