Das Brautpaar heiratet heute und ist überglücklich	The bride and groom are getting married today and are overjoyed
The bride and groom are getting married today and are overjoyed	Das Brautpaar heiratet heute und ist überglücklich
Der Anzug steht dem Bräutigam	The suit suits the groom
The suit suits the groom	Der Anzug steht dem Bräutigam
Viele Gäste haben die Hochzeit besucht	Many guests attended the wedding
Many guests attended the wedding	Viele Gäste haben die Hochzeit besucht
die Hochzeitsfeier	the wedding party
the wedding party	die Hochzeitsfeier
Sekt trinken -- Auf das Brautpaar! Auf die Ehe!	Drink champagne -- to the newlyweds! Here's to marriage!
Drink champagne -- to the newlyweds! Here's to marriage!	Sekt trinken -- Auf das Brautpaar! Auf die Ehe!
über einen Ablauf sprechen	talk about a process
talk about a process	über einen Ablauf sprechen
zuerst, dann, nachdem, später	first, then, after, later
first, then, after, later	zuerst, dann, nachdem, später
Ich kann einen kurzen Text zum Thema Beziehungen lesen und verstehen	I can read and understand a short text on the subject of relationships
I can read and understand a short text on the subject of relationships	Ich kann einen kurzen Text zum Thema Beziehungen lesen und verstehen
Ich kann einfache Fragen zum Textverständnis beantworten	I can answer simple questions about reading comprehension
I can answer simple questions about reading comprehension	Ich kann einfache Fragen zum Textverständnis beantworten
Nachdem alles vorbereitet war, hatten sie eine schöne Feier	After everything was prepared, they had a nice celebration
After everything was prepared, they had a nice celebration	Nachdem alles vorbereitet war, hatten sie eine schöne Feier
Lies die Sätze und ordne das passende Adjektiv zu	Read the sentences and match the appropriate adjective
Read the sentences and match the appropriate adjective	Lies die Sätze und ordne das passende Adjektiv zu
Sind die Aussagen unten richtig oder falsch?	Are the statements below true or false?
Are the statements below true or false?	Sind die Aussagen unten richtig oder falsch?
Alex ist noch müde und möchte nicht aufstehen	Alex is still tired and doesn't want to get up
Alex is still tired and doesn't want to get up	Alex ist noch müde und möchte nicht aufstehen
Aber er lächelt und ist zufrieden	But he smiles and is content
But he smiles and is content	Aber er lächelt und ist zufrieden
Er hatte gestern einen schönen Tag	He had a nice day yesterday
He had a nice day yesterday	Er hatte gestern einen schönen Tag
Gestern war Alex auf der Hochzeit von Petra und Jens	Yesterday Alex was at Petra and Jens' wedding (das Imperfekt)
Yesterday Alex was at Petra and Jens' wedding (das Imperfekt)	Gestern war Alex auf der Hochzeit von Petra und Jens
Nachdem Alex am Samstagmorgen nochmal die Einladung gelesen hatte, hat er seinen Anzug angezogen	After Alex read the invitation again on Saturday morning, he put on his suit
After Alex read the invitation again on Saturday morning, he put on his suit	Nachdem Alex am Samstagmorgen nochmal die Einladung gelesen hatte, hat er seinen Anzug angezogen
„Wir heiraten um 15 Uhr in der Sankt-Petrus-Kirche“, hat in der Einladung gestanden	"We're getting married at 3 p.m. in St. Peter's Church," the invitation said
