Der Stress ist nicht gut für ihn	The stress is not good for him
The stress is not good for him	Der Stress ist nicht gut für ihn
Nach dem Gespräch mit dem Chef hat er die Stelle bekommen	After speaking with the boss, he got the position
After speaking with the boss, he got the position	Nach dem Gespräch mit dem Chef hat er die Stelle bekommen
Er hat den Arbeitsvertrag heute unterschrieben	He signed the employment contract today
He signed the employment contract today	Er hat den Arbeitsvertrag heute unterschrieben
Das Büro ist groß und hell	The office is big and bright
The office is big and bright	Das Büro ist groß und hell
Sie muss viele Aufgaben erledigen. (die Aufgabe)	She has many tasks to do
She has many tasks to do	Sie muss viele Aufgaben erledigen. (die Aufgabe)
Die Mutter macht viele Überstunden	The mother works a lot of overtime
The mother works a lot of overtime	Die Mutter macht viele Überstunden
Wie viel Gehalt bekommst du? (das Gehalt)	How much salary do you get?
How much salary do you get?	Wie viel Gehalt bekommst du? (das Gehalt)
Der Arbeitgeber ist unfreundlich	The employer is unfriendly
The employer is unfriendly	Der Arbeitgeber ist unfreundlich
Wie viel verdienst du?	How much do you earn?
How much do you earn?	Wie viel verdienst du?
Martha hat gekündigt	Martha has resigned
Martha has resigned	Martha hat gekündigt
Hier werden neue Programme entwickelt	New programs are developed here
New programs are developed here	Hier werden neue Programme entwickelt
Ich kann Informationen über meine Arbeit geben	I can give information about my work
I can give information about my work	Ich kann Informationen über meine Arbeit geben
Ich kann meine Arbeitssituation in einfachen Worten beschreiben	I can describe my work situation in simple terms
I can describe my work situation in simple terms	Ich kann meine Arbeitssituation in einfachen Worten beschreiben
Hast du denn noch viele Aufgaben zu erledigen?	Do you still have a lot of work to do?
Do you still have a lot of work to do?	Hast du denn noch viele Aufgaben zu erledigen?
Ich mache jetzt Feierabend. Gute Idee. Du verdienst eine Pause	I'm getting off work now. Good idea. You deserve a break
I'm getting off work now. Good idea. You deserve a break	Ich mache jetzt Feierabend. Gute Idee. Du verdienst eine Pause
Der Mann arbeitet in einer Firma. Das Unternehmen ist auf Finanzberatung spezialisiert	The man works in a company. The company specializes in financial advice
The man works in a company. The company specializes in financial advice	Der Mann arbeitet in einer Firma. Das Unternehmen ist auf Finanzberatung spezialisiert
Mein Gehalt ist ganz gut. In meinem letzten Job habe ich weniger verdient	My salary is quite good. I earned less in my last job
My salary is quite good. I earned less in my last job	Mein Gehalt ist ganz gut. In meinem letzten Job habe ich weniger verdient
Machst du bald Feierabend oder musst du Überstunden machen?	Are you going to end work soon or do you have to work overtime?
Are you going to end work soon or do you have to work overtime?	Machst du bald Feierabend oder musst du Überstunden machen?
Deine Freundinnen sind im Urlaub, während du arbeiten musst	Your girlfriends are on vacation while you have to work
Your girlfriends are on vacation while you have to work	Deine Freundinnen sind im Urlaub, während du arbeiten musst
Wir genießen den Urlaub! Es ist sonnig und sehr warm	We enjoy the vacation! It's sunny and very warm
We enjoy the vacation! It's sunny and very warm	Wir genießen den Urlaub! Es ist sonnig und sehr warm
Wie ist es bei dir? Was macht die Arbeit?	How about you? How is the work going?
How about you? How is the work going?	Wie ist es bei dir? Was macht die Arbeit?
Wir hoffen, dass du nicht so viele Überstunden machen musst!	We hope you don't have to work so much overtime!
We hope you don't have to work so much overtime!	Wir hoffen, dass du nicht so viele Überstunden machen musst!
Geht es ihnen ähnlich wie Maria?	Is it going with you similar as Maria? (polite)
Is it going with you similar as Maria? (polite)	Geht es ihnen ähnlich wie Maria?
Wir arbeiten im gleichen Büro	We work in the same office
We work in the same office	Wir arbeiten im gleichen Büro
Er arbeitet den ganzen Tag an seinem Schreibtisch	He works all day at his desk
He works all day at his desk	Er arbeitet den ganzen Tag an seinem Schreibtisch
Musst du heute länger arbeiten?	Do you have to work late today?
Do you have to work late today?	Musst du heute länger arbeiten?
Die neue Stelle macht mir viel Spaß	I really enjoy the new position
I really enjoy the new position	Die neue Stelle macht mir viel Spaß
Stelle Vermutungen an	Make guesses
Make guesses	Stelle Vermutungen an
Was siehst du auf den Bildern?	What do you see in the pictures?
What do you see in the pictures?	Was siehst du auf den Bildern?
Wie ist die Situation auf der Arbeit?	How is the situation at work?
How is the situation at work?	Wie ist die Situation auf der Arbeit?
Beantworte die Fragen schriftlich im Chat	Answer the questions in writing in the chat
Answer the questions in writing in the chat	Beantworte die Fragen schriftlich im Chat
Hast du auf der Arbeit viel Stress?	Do you have a lot of stress at work?
Do you have a lot of stress at work?	Hast du auf der Arbeit viel Stress?
Mein Arbeitsplatz gefällt mir sehr gut	I like my workplace very much
I like my workplace very much	Mein Arbeitsplatz gefällt mir sehr gut
Yoga hilft bei Stress auf der Arbeit	Yoga helps with stress at work
Yoga helps with stress at work	Yoga hilft bei Stress auf der Arbeit
Er arbeitet bei einer Firma, die Fahrräder verkauft / repariert	He works at a company that sells / repairs bicycles
He works at a company that sells / repairs bicycles	Er arbeitet bei einer Firma, die Fahrräder verkauft / repariert
Kündigen würde er nie!	He would never quit!
He would never quit!	Kündigen würde er nie!
Mark hat einen Freund, der Tom heißt	Mark has a friend named Tom
Mark has a friend named Tom	Mark hat einen Freund, der Tom heißt
Toms Chef ist sehr streng und Tom mag seinen Chef nicht	Tom's boss is very strict and Tom doesn't like him
Tom's boss is very strict and Tom doesn't like him	Toms Chef ist sehr streng und Tom mag seinen Chef nicht
Mark versucht, Tom zu helfen	Mark tries to help Tom
Mark tries to help Tom	Mark versucht, Tom zu helfen
Nach der Arbeit gehen sie oft zusammen in einem Restaurant essen und Tom fühlt sich wieder besser	After work they often go to a restaurant together and Tom feels better
After work they often go to a restaurant together and Tom feels better	Nach der Arbeit gehen sie oft zusammen in einem Restaurant essen und Tom fühlt sich wieder besser
Welches Bild zeigt deine Arbeitssituation am besten?	Which picture best describes your work situation?
Which picture best describes your work situation?	Welches Bild zeigt deine Arbeitssituation am besten?
Warum beschreibt dein ausgewähltes Bild deine Arbeitssituation am besten?	Why does your chosen picture best describe your work situation?
Why does your chosen picture best describe your work situation?	Warum beschreibt dein ausgewähltes Bild deine Arbeitssituation am besten?
Das dritte Bild passt für mich am besten, weil	The third picture suits me best because
The third picture suits me best because	Das dritte Bild passt für mich am besten, weil
Suche die Wörter. Sie können waagerecht → oder senkrecht ↓ sein	Search the words. They can be horizontal → or vertical ↓
Search the words. They can be horizontal → or vertical ↓	Suche die Wörter. Sie können waagerecht → oder senkrecht ↓ sein
Meine Frau hat eine neue Stelle gefunden. Sie fängt nächste Woche an	My wife has found a new job. She starts next week
My wife has found a new job. She starts next week	Meine Frau hat eine neue Stelle gefunden. Sie fängt nächste Woche an
Frau Schulz arbeitet bei einer großen internationalen Firma	Ms. Schulz works for a large international company
Ms. Schulz works for a large international company	Frau Schulz arbeitet bei einer großen internationalen Firma
Sie mag ihren Beruf, aber sie hat sehr viel Stress in letzter Zeit	She likes her job, but she's been under a lot of stress lately
She likes her job, but she's been under a lot of stress lately	Sie mag ihren Beruf, aber sie hat sehr viel Stress in letzter Zeit
