Ich kann die Dativ- und Akkusativpräpositionen sicher anwenden	I can safely use the dative and accusative prepositions
I can safely use the dative and accusative prepositions	Ich kann die Dativ- und Akkusativpräpositionen sicher anwenden
Wohin hast du mein Geld gelegt?	where did you put my money
where did you put my money	Wohin hast du mein Geld gelegt?
Ohne dich macht die Schule keinen Spaß!	School is no fun without you!
School is no fun without you!	Ohne dich macht die Schule keinen Spaß!
Er ist beim Frisör	He's at the hairdresser's
He's at the hairdresser's	Er ist beim Frisör
Ab diesem Zeitpunkt war alles klar	From that point on everything was clear
From that point on everything was clear	Ab diesem Zeitpunkt war alles klar
Seit einem Jahr lebe ich in Köln	I've been living in Cologne for a year
I've been living in Cologne for a year	Seit einem Jahr lebe ich in Köln
Ich bin für dich da!	I'm here for you!
I'm here for you!	Ich bin für dich da!
Sie war gestern beim Zahnarzt	She went to the dentist yesterday
She went to the dentist yesterday	Sie war gestern beim Zahnarzt
Ohne meine Freundin fahre ich nicht in den Urlaub	I don't go on vacation without my girlfriend
I don't go on vacation without my girlfriend	Ohne meine Freundin fahre ich nicht in den Urlaub
Er rennt einmal um den Zaun	He runs around the fence once
He runs around the fence once	Er rennt einmal um den Zaun
Wechselpräpositionen brauchen den Dativ für die Beschreibung eines Ortes: Wo?	Alternating prepositions need the dative to describe a place: Where?
Alternating prepositions need the dative to describe a place: Where?	Wechselpräpositionen brauchen den Dativ für die Beschreibung eines Ortes: Wo?
Wechselpräpositionen brauchen den Akkusativ für die Beschreibung einer Richtung: Wohin?	Alternating prepositions need the accusative to describe a direction: Wohin?
Alternating prepositions need the accusative to describe a direction: Wohin?	Wechselpräpositionen brauchen den Akkusativ für die Beschreibung einer Richtung: Wohin?
Bestimmte Verben geben Richtung oder Ort an	Certain verbs indicate direction or location
Certain verbs indicate direction or location	Bestimmte Verben geben Richtung oder Ort an
Ich liege im Bett. Ich lege mich in das Bett	I lie in bed. I lie down in bed
I lie in bed. I lie down in bed	Ich liege im Bett. Ich lege mich in das Bett
Das Glas steht auf dem Küchentisch. Ich stelle das Glas auf den Küchentisch	The glass is on the kitchen table. I put the glass on the kitchen table
The glass is on the kitchen table. I put the glass on the kitchen table	Das Glas steht auf dem Küchentisch. Ich stelle das Glas auf den Küchentisch
Er sitzt auf dem Sofa. Er setzt sich auf das Sofa	He is sitting on the sofa. He sits down on the sofa
He is sitting on the sofa. He sits down on the sofa	Er sitzt auf dem Sofa. Er setzt sich auf das Sofa
Das Bild hängt an der Wand. Wir hängen das Bild an die Wand	The picture hangs on the wall. We hang the picture on the wall
The picture hangs on the wall. We hang the picture on the wall	Das Bild hängt an der Wand. Wir hängen das Bild an die Wand
Lies die Sätze und kreuze an	Read the sentences and tick
Read the sentences and tick	Lies die Sätze und kreuze an
Du hängst die Gardinen an das Fenster	You hang the curtains on the window
You hang the curtains on the window	Du hängst die Gardinen an das Fenster
Der Teller steht auf dem Tisch	The plate is on the table
The plate is on the table	Der Teller steht auf dem Tisch
Die Lampe hängt an der Decke	The lamp hangs from the ceiling
The lamp hangs from the ceiling	Die Lampe hängt an der Decke
Johanna setzt sich auf das Sofa	Johanna sits down on the sofa
Johanna sits down on the sofa	Johanna setzt sich auf das Sofa
Der Baum steht im Garten	The tree is in the garden
The tree is in the garden	Der Baum steht im Garten
Mia hat letzte Woche angefangen zu arbeiten	Mia started work last week
Mia started work last week	Mia hat letzte Woche angefangen zu arbeiten
Sie hat ihr eigenes Büro	She has her own office
She has her own office	Sie hat ihr eigenes Büro
Dort stehen nur ein Schreibtisch und ein Stuhl mitten im Raum	There is only a desk and a chair in the middle of the room
There is only a desk and a chair in the middle of the room	Dort stehen nur ein Schreibtisch und ein Stuhl mitten im Raum
Wohin stellt sie die Pflanze?	Where does she put the plant?
Where does she put the plant?	Wohin stellt sie die Pflanze?
Das eine Regal hängt sie an die Wand und das andere Regal stellt sie neben den Schreibtisch	She hangs one shelf on the wall and places the other shelf next to the desk
She hangs one shelf on the wall and places the other shelf next to the desk	Das eine Regal hängt sie an die Wand und das andere Regal stellt sie neben den Schreibtisch
Was müsst ihr tun, um den Schreibtisch aufzuräumen?	What do you have to do to tidy up the desk?
What do you have to do to tidy up the desk?	Was müsst ihr tun, um den Schreibtisch aufzuräumen?
Ich werfe das Papier in den Mülleimer	I throw the paper in the trash can
I throw the paper in the trash can	Ich werfe das Papier in den Mülleimer
Wohin hast du den Stift gelegt?	Where did you put the pen?
Where did you put the pen?	Wohin hast du den Stift gelegt?
Wohin hast du den Mantel gehängt?	Where did you hang the coat?
Where did you hang the coat?	Wohin hast du den Mantel gehängt?
Stellt abwechselnd Fragen und beantwortet diese	Take turns asking questions and answering them
Take turns asking questions and answering them	Stellt abwechselnd Fragen und beantwortet diese
Wo warst du letzten Freitag?	where were you last friday
where were you last friday	Wo warst du letzten Freitag?
Wie hast du dein Zimmer gestaltet?	How did you design your room?
How did you design your room?	Wie hast du dein Zimmer gestaltet?
Wo bist du gern, wenn du deine Ruhe haben möchtest?	Where do you like to be when you want to relax?
Where do you like to be when you want to relax?	Wo bist du gern, wenn du deine Ruhe haben möchtest?
Beschreibe deine Küche. Was liegt wo? Wohin hast du was gestellt?	Describe your kitchen. What is where? Where did you put what?
Describe your kitchen. What is where? Where did you put what?	Beschreibe deine Küche. Was liegt wo? Wohin hast du was gestellt?
Er setzt sich auf den Stuhl. Er sitzt auf dem Sofa	He sits down on the chair. He is sitting on the sofa
He sits down on the chair. He is sitting on the sofa	Er setzt sich auf den Stuhl. Er sitzt auf dem Sofa
Der Zug fährt durch die Stadt	The train goes through the city
The train goes through the city	Der Zug fährt durch die Stadt
Der Sessel	The armchair
The armchair	Der Sessel
Sonja stellt den Becher in den Schrank	Sonja puts the mug in the cupboard
Sonja puts the mug in the cupboard	Sonja stellt den Becher in den Schrank
Juli steht den ganzen Tag vor dem Spiegel	Juli spends all day in front of the mirror
Juli spends all day in front of the mirror	Juli steht den ganzen Tag vor dem Spiegel
Die Frau sitzt auf dem Boden	The woman is sitting on the floor
The woman is sitting on the floor	Die Frau sitzt auf dem Boden
Der Stuhl steht direct an der Wand	The chair is right against the wall
The chair is right against the wall	Der Stuhl steht direct an der Wand
Das Auto steht in der Garage	The car is in the garage
The car is in the garage	Das Auto steht in der Garage
Die Braut liegt auf dem Sofa	The bride is lying on the sofa
The bride is lying on the sofa	Die Braut liegt auf dem Sofa
Mark sitzt wider vor dem Fernseher und guckt Serien	Mark sits in front of the TV and watches series
Mark sits in front of the TV and watches series	Mark sitzt wider vor dem Fernseher und guckt Serien
Julia ist in der Dusche. Sie war joggen	Julia is in the shower. She was jogging
Julia is in the shower. She was jogging	Julia ist in der Dusche. Sie war joggen
Paula liegt auf dem Teppich	Paula is lying on the carpet
