Zum Glück bekomme ich viele Urlaubstage und ein gutes Gehalt	Luckily I get a lot of vacation days and a good salary
Luckily I get a lot of vacation days and a good salary	Zum Glück bekomme ich viele Urlaubstage und ein gutes Gehalt
Tim hat vier Angestellte in der Firma	Tim has four employees in the company
Tim has four employees in the company	Tim hat vier Angestellte in der Firma
Die Bewerberin heißt Martina	The applicant's name is Martina
The applicant's name is Martina	Die Bewerberin heißt Martina
Tims Angestellte führt Martina in den Konferenzraum	Tim's clerk leads Martina into the conference room
Tim's clerk leads Martina into the conference room	Tims Angestellte führt Martina in den Konferenzraum
Er braucht eine neue Sekretärin	He needs a new secretary
He needs a new secretary	Er braucht eine neue Sekretärin
Er legt die Bewerbungen auf zwei Stapel	He places the applications in two piles
He places the applications in two piles	Er legt die Bewerbungen auf zwei Stapel
Meine Frau hat 30 Urlaubstage im Jahr	My wife has 30 vacation days a year
My wife has 30 vacation days a year	Meine Frau hat 30 Urlaubstage im Jahr
Die ersten sechs Monate in einer Firma sind die Probezeit	The first six months in a company is the probationary period
The first six months in a company is the probationary period	Die ersten sechs Monate in einer Firma sind die Probezeit
Welche Schwächen hatten die anderen Bewerber?	What weaknesses did the other applicants have?
What weaknesses did the other applicants have?	Welche Schwächen hatten die anderen Bewerber?
Warum wurdest du entlassen?	Why were you fired
Why were you fired	Warum wurdest du entlassen?
Sie muss sehr professionell sein	She must be very professional
She must be very professional	Sie muss sehr professionell sein
Er ist selbstständig, er ist sein eigener Chef	He is self-employed, he is his own boss
He is self-employed, he is his own boss	Er ist selbstständig, er ist sein eigener Chef
35 Personen haben sich um die Stelle beworben	35 people applied for the position
35 people applied for the position	35 Personen haben sich um die Stelle beworben
Tims Sekretärin muss schnell tippen können	Tim's secretary needs to be able to type quickly
Tim's secretary needs to be able to type quickly	Tims Sekretärin muss schnell tippen können
an dem Job interessiert sein	be interested in the job
be interested in the job	an dem Job interessiert sein
die Stärken, die Schwächen	the strengths, the weaknesses
the strengths, the weaknesses	die Stärken, die Schwächen
die Bewerbung, zu einem Bewerbungsgespräch einladen, der Bewerber/die Bewerberin	the application, invite to an interview, the applicant
the application, invite to an interview, the applicant	die Bewerbung, zu einem Bewerbungsgespräch einladen, der Bewerber/die Bewerberin
Wie viele Monate Probezeit habe ich?	How many months of probation do I have?
How many months of probation do I have?	Wie viele Monate Probezeit habe ich?
Wie viele Urlaubstage bekomme ich?	How many vacation days do I get?
How many vacation days do I get?	Wie viele Urlaubstage bekomme ich?
Welche Aufgaben muss ich erledigen?	What tasks do I have to do?
