Er schreibt eine Bewerbung	He writes an application
He writes an application	Er schreibt eine Bewerbung
Der Lebenslauf gehört zu jeder Bewerbung	The CV is part of every application
The CV is part of every application	Der Lebenslauf gehört zu jeder Bewerbung
Die Stellenanzeige klingt sehr interessant	The job advertisement sounds very interesting
The job advertisement sounds very interesting	Die Stellenanzeige klingt sehr interessant
Das Team arbeitet gut zusammen	The team works well together
The team works well together	Das Team arbeitet gut zusammen
Sie macht eine Ausbildung zur Visagistin	She is training to be a makeup artist
She is training to be a makeup artist	Sie macht eine Ausbildung zur Visagistin
Sie haben ihren Universitätsabschluss bekommen	You got your university degree
You got your university degree	Sie haben ihren Universitätsabschluss bekommen
Die Professorin kennt sich mit Mathematik aus	The professor knows mathematics
The professor knows mathematics	Die Professorin kennt sich mit Mathematik aus
sich mit etwas auskennen	to be familiar with something
to be familiar with something	sich mit etwas auskennen
Sie bewirbt sich um den Job	She applies for the job
She applies for the job	Sie bewirbt sich um den Job
Mike hat den Job. Er ist eingestellt	Mike has the job. He's hired
Mike has the job. He's hired	Mike hat den Job. Er ist eingestellt
Im Lebenslauf stehen Informationen zur Person und zur Ausbildung oder zum Universitätsabschluss	The CV contains information about the person and the education or university degree
The CV contains information about the person and the education or university degree	Im Lebenslauf stehen Informationen zur Person und zur Ausbildung oder zum Universitätsabschluss
Ich hoffe, ich werde eingestellt	I hope I get hired
I hope I get hired	Ich hoffe, ich werde eingestellt
Die Professorin hat viel Ahnung von Mathematik	The professor knows a lot about mathematics
The professor knows a lot about mathematics	Die Professorin hat viel Ahnung von Mathematik
Er kennt sich gut mit Mode aus	He knows fashion well
He knows fashion well	Er kennt sich gut mit Mode aus
Sie hat für alle Bewerbungen Absagen bekommen	All of her applications were turned down
All of her applications were turned down	Sie hat für alle Bewerbungen Absagen bekommen
Sie kennt sich gut mit Programmieren aus	She is good at programming
She is good at programming	Sie kennt sich gut mit Programmieren aus
Christoph hat seinen Job verloren. Er ist jetzt arbeitslos	Christoph lost his job. He is now unemployed
Christoph lost his job. He is now unemployed	Christoph hat seinen Job verloren. Er ist jetzt arbeitslos
Christoph will einen neuen Job. Er ist arbeitssuchend	Christoph wants a new job. He is looking for a job
Christoph wants a new job. He is looking for a job	Christoph will einen neuen Job. Er ist arbeitssuchend
Er schickt deshalb die Bewerbung an verschiedene Firmen	He therefore sends the application to various companies
He therefore sends the application to various companies	Er schickt deshalb die Bewerbung an verschiedene Firmen
Er bewirbt sich bei vielen Anwaltskanzleien	He applies to many law firms
He applies to many law firms	Er bewirbt sich bei vielen Anwaltskanzleien
Heute ist ein aufregender Tag für Jonas	Today is an exciting day for Jonas
Today is an exciting day for Jonas	Heute ist ein aufregender Tag für Jonas
Er bewirbt sich um eine Stelle als Sekretär	He's applying for a job as a secretary
He's applying for a job as a secretary	Er bewirbt sich um eine Stelle als Sekretär
Jonas war bis jetzt arbeitslos	Jonas has been unemployed until now
Jonas has been unemployed until now	Jonas war bis jetzt arbeitslos
Er möchte aber nicht mehr arbeitslos sein	But he no longer wants to be unemployed
But he no longer wants to be unemployed	Er möchte aber nicht mehr arbeitslos sein
Aus diesem Grund hat er eine Bewerbung geschickt	For this reason he sent an application
For this reason he sent an application	Aus diesem Grund hat er eine Bewerbung geschickt
