Kannst du bitte bei Herrn Keller anrufen und einen Termin für unseren Chef machen?	Can you please call Mr. Keller and make an appointment for our boss?
Can you please call Mr. Keller and make an appointment for our boss?	Kannst du bitte bei Herrn Keller anrufen und einen Termin für unseren Chef machen?
Florian, kann ich dich um einen Gefallen bitten?	Florian, can I ask you a favor?
Florian, can I ask you a favor?	Florian, kann ich dich um einen Gefallen bitten?
Er denkt immer nur an die Arbeit	All he ever thinks about is work
All he ever thinks about is work	Er denkt immer nur an die Arbeit
Alle Mitarbeiter sind herzlich zu unserer Betriebsfeier eingeladen	All employees are cordially invited to our company party
All employees are cordially invited to our company party	Alle Mitarbeiter sind herzlich zu unserer Betriebsfeier eingeladen
Ich erzähle Ihnen gerne mehr von meiner Arbeit	I would be happy to tell you more about my work
I would be happy to tell you more about my work	Ich erzähle Ihnen gerne mehr von meiner Arbeit
Sie fahren mit dem Rad zur Arbeit	They cycle to work
They cycle to work	Sie fahren mit dem Rad zur Arbeit
Jan und Maria sind gegen die neuen Pläne	Jan and Maria are against the new plans
Jan and Maria are against the new plans	Jan und Maria sind gegen die neuen Pläne
Ich muss mich für die Verspätung entschuldigen	I have to apologize for the delay
I have to apologize for the delay	Ich muss mich für die Verspätung entschuldigen
Ich kann mich nicht an seinen Namen erinnern	I can't remember his name
I can't remember his name	Ich kann mich nicht an seinen Namen erinnern
Das freut mich für dich	I'm delighted for you
I'm delighted for you	Das freut mich für dich
Ich möchte gerne mit Ihrem Chef sprechen	I would like to speak to your boss (polite)
I would like to speak to your boss (polite)	Ich möchte gerne mit Ihrem Chef sprechen
Ich träume sogar nachts von meiner Arbeit	I even dream about my work at night
I even dream about my work at night	Ich träume sogar nachts von meiner Arbeit
Wofür interessierst du dich?	What are you interested in?
What are you interested in?	Wofür interessierst du dich?
Wogegen sind sie?	What are they against?
What are they against?	Wogegen sind sie?
Er wohnt seit April bei seiner Freundin	He has been living with his girlfriend since April
He has been living with his girlfriend since April	Er wohnt seit April bei seiner Freundin
Woran denkst du?	What are you thinking about?
What are you thinking about?	Woran denkst du?
Wovon erzählt sie?	What is she talking about?
What is she talking about?	Wovon erzählt sie?
Bist du denn zufrieden mit deinem Job?	Are you then happy with your job?
Are you then happy with your job?	Bist du denn zufrieden mit deinem Job?
Ich bedanke mich bei Ihnen	Thank you (polite)
Thank you (polite)	Ich bedanke mich bei Ihnen
Ich interessiere mich für interessante Länder	I am interested in interesting countries
I am interested in interesting countries	Ich interessiere mich für interessante Länder
Wenn man nach einer Sache fragt, wird die Präposition mit einem Wo(r)- erweitert: Woran? Worüber?	When asking about a thing, the preposition is expanded with a "Wo(r)-": On what? About what?
When asking about a thing, the preposition is expanded with a "Wo(r)-": On what? About what?	Wenn man nach einer Sache fragt, wird die Präposition mit einem Wo(r)- erweitert: Woran? Worüber?
Wenn man nach Personen fragt, steht die Präposition vor dem Fragewort: An wen? Über wen?	When asking about people, the preposition comes before the question word: To whom? About who?
When asking about people, the preposition comes before the question word: To whom? About who?	Wenn man nach Personen fragt, steht die Präposition vor dem Fragewort: An wen? Über wen?
Ich kann Verben mit Präpositionen, die Dativ und Akkusativ brauchen,  erkennen und anwenden	I can recognize and use verbs with prepositions that take the dative and accusative
I can recognize and use verbs with prepositions that take the dative and accusative	Ich kann Verben mit Präpositionen, die Dativ und Akkusativ brauchen,  erkennen und anwenden
Ich kann nach den Präpositionalobjekten fragen	I can ask about the prepositional objects
I can ask about the prepositional objects	Ich kann nach den Präpositionalobjekten fragen
Ein Gespräch unter Freundinnen	A conversation between friends
A conversation between friends	Ein Gespräch unter Freundinnen
Wo ist unsere Chefin? Sie ist bei einer Besprechung	Where is our boss? She's at a meeting
Where is our boss? She's at a meeting	Wo ist unsere Chefin? Sie ist bei einer Besprechung
Hast du heute nach der Arbeit schon etwas vor?	Do you have any plans after work today?
Do you have any plans after work today?	Hast du heute nach der Arbeit schon etwas vor?
Matthias, kannst du mir bitte die Dokumente aus dem Büro holen?	Matthias, can you get me the documents from the office, please?
Matthias, can you get me the documents from the office, please?	Matthias, kannst du mir bitte die Dokumente aus dem Büro holen?
Ich rufe bei Ihnen an, weil ich Sie gerne zu einer Umfrage einladen möchte	I am calling you because I would like to invite you to a survey
I am calling you because I would like to invite you to a survey	Ich rufe bei Ihnen an, weil ich Sie gerne zu einer Umfrage einladen möchte
Interessieren Sie sich für das Thema Urlaub?	Are you interested in the subject of holidays?
Are you interested in the subject of holidays?	Interessieren Sie sich für das Thema Urlaub?
Ich träume eigentlich immer von Urlaub	I always dream of vacations
I always dream of vacations	Ich träume eigentlich immer von Urlaub
Wie zufrieden sind Sie denn mit Ihrer Arbeit?	How satisfied are you with your work?
How satisfied are you with your work?	Wie zufrieden sind Sie denn mit Ihrer Arbeit?
Ich muss leider die nächste Person anrufen. Ich bitte um Entschuldigung. Aber ich bedanke mich bei Ihnen	Unfortunately I have to call the next person. I beg your pardon. But thank you
Unfortunately I have to call the next person. I beg your pardon. But thank you	Ich muss leider die nächste Person anrufen. Ich bitte um Entschuldigung. Aber ich bedanke mich bei Ihnen
Ich schreibe an meine Großmutter	I am writing to my grandmother
I am writing to my grandmother	Ich schreibe an meine Großmutter
Woran gewöhnst du dich? Ich gewöhne mich an die Arbeit	what are you getting used to I'm getting used to the work
what are you getting used to I'm getting used to the work	Woran gewöhnst du dich? Ich gewöhne mich an die Arbeit
Woran denkst du? Ich denke an den Feierabend	What are you thinking? I'm thinking about the end of the day
What are you thinking? I'm thinking about the end of the day	Woran denkst du? Ich denke an den Feierabend
Wofür interessierst du dich? Ich interessiere mich für Technik	What are you interested in? I am interested in technology
What are you interested in? I am interested in technology	Wofür interessierst du dich? Ich interessiere mich für Technik
Wovon erzählt sie? Sie erzählt von ihrem Urlaub	What is she talking about? She talks about her vacation
What is she talking about? She talks about her vacation	Wovon erzählt sie? Sie erzählt von ihrem Urlaub
Wogegen sind sie? Sie sind gegen so viele Überstunden	What are they against? You're against so much overtime
What are they against? You're against so much overtime	Wogegen sind sie? Sie sind gegen so viele Überstunden
Für wen interessierst du dich?	Who are you interested in?
Who are you interested in?	Für wen interessierst du dich?
An wen denkst du?	Who are you thinking of?
Who are you thinking of?	An wen denkst du?
Mit wem fährst du zur Arbeit?	Who do you go to work with?
Who do you go to work with?	Mit wem fährst du zur Arbeit?
Mit was fährst du zur Arbeit? Ich nehme immer den Bus	What do you commute to work in? I always take the bus
What do you commute to work in? I always take the bus	Mit was fährst du zur Arbeit? Ich nehme immer den Bus
Es handelt sich um ein wichtiges Projekt	It is an important project
It is an important project	Es handelt sich um ein wichtiges Projekt
Sie denkt nie an die Abrechnung	She never thinks about the reckoning
She never thinks about the reckoning	Sie denkt nie an die Abrechnung
