Er hat ein gutes Einkommen	He has a good income
He has a good income	Er hat ein gutes Einkommen
Ich bin nicht neidisch	I am not jealous
I am not jealous	Ich bin nicht neidisch
Könnte sie mich bitte zurückrufen?	Could she please call me back?
Could she please call me back?	Könnte sie mich bitte zurückrufen?
Bei Nasallauten geht die Luft durch die Nase	With nasal sounds, the air goes through the nose
With nasal sounds, the air goes through the nose	Bei Nasallauten geht die Luft durch die Nase
In unserer Firma stellen wir nachhaltige Kleidung her	In our company we produce sustainable clothing
In our company we produce sustainable clothing	In unserer Firma stellen wir nachhaltige Kleidung her
Je besser der Abschluss, desto höher dein Einkommen	The better the degree, the higher your income
The better the degree, the higher your income	Je besser der Abschluss, desto höher dein Einkommen
Ich werde jetzt auflegen. Auf Wiederhören	I'll hang up now. Speak to you soon
I'll hang up now. Speak to you soon	Ich werde jetzt auflegen. Auf Wiederhören
Ich kann Lisa nicht erreichen. Die Leitung ist besetzt	I can't reach Lisa. The line is busy
I can't reach Lisa. The line is busy	Ich kann Lisa nicht erreichen. Die Leitung ist besetzt
Mir reicht es! Ich habe gekündigt	I've had enough! I have resigned
I've had enough! I have resigned	Mir reicht es! Ich habe gekündigt
Ich bin eher faul und unmotiviert	I tend to be lazy and unmotivated
I tend to be lazy and unmotivated	Ich bin eher faul und unmotiviert
Mein Einkommen ist sehr gering	My income is very low
My income is very low	Mein Einkommen ist sehr gering
Wo befindet sich das Büro des Chefs?	Where is the boss's office?
Where is the boss's office?	Wo befindet sich das Büro des Chefs?
Nach der Probezeit werde ich vielleicht übernommen	After the probationary period, I might be taken on
After the probationary period, I might be taken on	Nach der Probezeit werde ich vielleicht übernommen
Meine Aufgaben sind umfangreich, aber spannend	My tasks are extensive but exciting
My tasks are extensive but exciting	Meine Aufgaben sind umfangreich, aber spannend
Wir sind Freunde, deshalb darfst du mich duzen	We're friends, so you can call "du" me
We're friends, so you can call "du" me	Wir sind Freunde, deshalb darfst du mich duzen
Jeden Tag mindestens zwei Projekte? Das ist mir zu viel Stress	At least two projects every day? That's too much stress for me
At least two projects every day? That's too much stress for me	Jeden Tag mindestens zwei Projekte? Das ist mir zu viel Stress
Ich bin der Chef und habe hier das Sagen	I'm the boss and I'm in charge here
I'm the boss and I'm in charge here	Ich bin der Chef und habe hier das Sagen
Ich war sehr nervös vor meinem Bewerbungsgespräch	I was very nervous before my job interview
I was very nervous before my job interview	Ich war sehr nervös vor meinem Bewerbungsgespräch
Max kommt aus Berlin und ist für den Job umgezogen	Max is from Berlin and has moved for the job
Max is from Berlin and has moved for the job	Max kommt aus Berlin und ist für den Job umgezogen
Sie sind der perfekte Bewerber für diesen Job!	You are the perfect candidate for this job! (polite)
You are the perfect candidate for this job! (polite)	Sie sind der perfekte Bewerber für diesen Job!
Wir sind beeindruckt von Ihrem Lebenslauf	We are impressed with your resume
We are impressed with your resume	Wir sind beeindruckt von Ihrem Lebenslauf
Ich habe ab nächster Woche Urlaub	I'm on vacation starting next week
I'm on vacation starting next week	Ich habe ab nächster Woche Urlaub
Ich liebe es, durch den Wald zu joggen	I love jogging through the forest
I love jogging through the forest	Ich liebe es, durch den Wald zu joggen
Sie hat drei Jahre an einer Universität studiert	She studied at a university for three years
She studied at a university for three years	Sie hat drei Jahre an einer Universität studiert
Sie sind unmotiviert und nicht bei der Sache	They are unmotivated and not focused
They are unmotivated and not focused	Sie sind unmotiviert und nicht bei der Sache
Mein Lebenslauf zeigt, dass ich bereits Arbeitserfahrung sammeln konnte	My CV shows that I have already gained work experience
My CV shows that I have already gained work experience	Mein Lebenslauf zeigt, dass ich bereits Arbeitserfahrung sammeln konnte
Ich habe einen Abschluss in Philosophie	I have a degree in philosophy
I have a degree in philosophy	Ich habe einen Abschluss in Philosophie
Ich arbeite von früh bis spät	I work from early until late
I work from early until late	Ich arbeite von früh bis spät
Wir geben Ihnen eine Chance	We give you a chance
We give you a chance	Wir geben Ihnen eine Chance
Wir gehen in ein Museum	We're going to a museum
We're going to a museum	Wir gehen in ein Museum
Wir sind begeistert von Ihrem Lebenslauf	We are excited about your resume
We are excited about your resume	Wir sind begeistert von Ihrem Lebenslauf
Es gilt als unhöflich in Deutschland fremde Erwachsene zu duzen. Warte bis dir das „du" angeboten wird	It is considered impolite in Germany to address unfamiliar adults on a first-name basis. Wait for the "you" to be offered
It is considered impolite in Germany to address unfamiliar adults on a first-name basis. Wait for the "you" to be offered	Es gilt als unhöflich in Deutschland fremde Erwachsene zu duzen. Warte bis dir das „du" angeboten wird
Eine fremde Person zu siezen ist höflich	Addressing a stranger is polite
Addressing a stranger is polite	Eine fremde Person zu siezen ist höflich
Vor einem Bewerbungsgespräch sind die meisten nervös	Before an interview, most people are nervous
Before an interview, most people are nervous	Vor einem Bewerbungsgespräch sind die meisten nervös
Jeder Mensch hat Stärken und Schwächen	Every person has strengths and weaknesses
Every person has strengths and weaknesses	Jeder Mensch hat Stärken und Schwächen
Ich kann einfache Gespräche zum Thema Arbeit führen	I can hold simple conversations about work
I can hold simple conversations about work	Ich kann einfache Gespräche zum Thema Arbeit führen
Ich kann über die Vor- und Nachteile von meinem Job sprechen	I can talk about the pros and cons of my job
I can talk about the pros and cons of my job	Ich kann über die Vor- und Nachteile von meinem Job sprechen
Es gibt zwei Nasale: n und m. Bei diesen Lauten geht die Luft durch die Nase	There are two nasals: n and m. With these sounds, the air goes through the nose
There are two nasals: n and m. With these sounds, the air goes through the nose	Es gibt zwei Nasale: n und m. Bei diesen Lauten geht die Luft durch die Nase
Was motiviert dich?	What motivates you?
What motivates you?	Was motiviert dich?
In welcher Firma arbeitest du?	In which company do you work?
In which company do you work?	In welcher Firma arbeitest du?
Was macht dich nervös?	what makes you nervous
what makes you nervous	Was macht dich nervös?
Was findest du unhöflich?	What do you find rude?
What do you find rude?	Was findest du unhöflich?
Nimm den Anruf an! Antworte auf jeden Satz!	Take the call! Answer every sentence!
Take the call! Answer every sentence!	Nimm den Anruf an! Antworte auf jeden Satz!
Du wurdest zu einem Bewerbungsgespräch eingeladen	You have been invited to an interview
