Es gibt einen Hof hinter dem Haus	There is a yard behind the house
There is a yard behind the house	Es gibt einen Hof hinter dem Haus
Das Haus hat keinen Pool	The house does not have a pool
The house does not have a pool	Das Haus hat keinen Pool
Sie kann noch nicht einziehen. Hier ist noch eine Baustelle	She can't move in yet. Here is still a construction site
She can't move in yet. Here is still a construction site	Sie kann noch nicht einziehen. Hier ist noch eine Baustelle
Neben dem Haus steht eine Mauer	There is a wall next to the house
There is a wall next to the house	Neben dem Haus steht eine Mauer
Die Nachbarschaft gefällt ihr gut	She likes the neighborhood
She likes the neighborhood	Die Nachbarschaft gefällt ihr gut
Die Umgebung ist sehr ruhig	The environment is very quiet
The environment is very quiet	Die Umgebung ist sehr ruhig
Das Gebäude ist sehr groß	The building is very big
The building is very big	Das Gebäude ist sehr groß
Im Möbelgeschäft (das) kaufe ich einen Kleiderschrank	In the furniture store I buy a wardrobe
In the furniture store I buy a wardrobe	Im Möbelgeschäft (das) kaufe ich einen Kleiderschrank
Marias Wohnung ist im ersten Stockwerk (das)	Maria's apartment is on the first floor
Maria's apartment is on the first floor	Marias Wohnung ist im ersten Stockwerk (das)
Bei "ng" spricht man das "g" nicht deutlich, sondern nur nasal aus	With "ng" the "g" is not pronounced clearly, but only nasally
With "ng" the "g" is not pronounced clearly, but only nasally	Bei "ng" spricht man das "g" nicht deutlich, sondern nur nasal aus
Das neue Haus ist größer als das alte Haus	The new house is bigger than the old house
The new house is bigger than the old house	Das neue Haus ist größer als das alte Haus
Mein Wohnzimmer ist jetzt viel schöner und gemütlicher als früher	My living room is now much nicer and cozier than before
My living room is now much nicer and cozier than before	Mein Wohnzimmer ist jetzt viel schöner und gemütlicher als früher
Das Badezimmer ist kleiner als in meiner alten Wohnung	The bathroom is smaller than in my old apartment
The bathroom is smaller than in my old apartment	Das Badezimmer ist kleiner als in meiner alten Wohnung
Ich kann ein einfaches Gespräch über die Wohnsituation führen	I can hold a simple conversation about the housing situation
I can hold a simple conversation about the housing situation	Ich kann ein einfaches Gespräch über die Wohnsituation führen
Ich kann in einfachen Worten in einem Möbelgeschäft verhandeln	I can negotiate in simple terms in a furniture store
I can negotiate in simple terms in a furniture store	Ich kann in einfachen Worten in einem Möbelgeschäft verhandeln
Ich wohne seit vier Jahren in einer kleinen, hässlichen Wohnung	I've lived in a small, ugly apartment for four years
I've lived in a small, ugly apartment for four years	Ich wohne seit vier Jahren in einer kleinen, hässlichen Wohnung
Ab nächstem Monat kann ich in die neue Wohnung einziehen	From next month I can move into the new apartment
From next month I can move into the new apartment	Ab nächstem Monat kann ich in die neue Wohnung einziehen
Was gibt es beim linken Haus?	What's in the left house?
What's in the left house?	Was gibt es beim linken Haus?
Matze ist mein Friseur. Ich bin schon lange bei ihm. Er macht immer einen guten Job	Matze is my hairdresser. I've been with him for a long time. He always does a good job
