Das Verb steht am Ende des Relativsatzes	The verb stands at the end of the relative clause
The verb stands at the end of the relative clause	Das Verb steht am Ende des Relativsatzes
Die Relativpronomen im Nominativ und der Artikel des Nomens sind gleich	The relative pronouns in the nominative and the article of the noun are the same
The relative pronouns in the nominative and the article of the noun are the same	Die Relativpronomen im Nominativ und der Artikel des Nomens sind gleich
Die Relativpronomen im Akkusativ und der Artikel im Akkusativ sind identisch mit den Relativpronomen im Nominativ. Ausnahme: der wird zu den	The relative pronouns in the accusative and the article in the accusative are identical to the relative pronouns in the nominative. Exception: der becomes den
The relative pronouns in the accusative and the article in the accusative are identical to the relative pronouns in the nominative. Exception: der becomes den	Die Relativpronomen im Akkusativ und der Artikel im Akkusativ sind identisch mit den Relativpronomen im Nominativ. Ausnahme: der wird zu den
Man braucht ein Relativpronomen im Akkusativ, wenn das Relativpronomen das direkte Objekt im Nebensatz ist	You need a relative pronoun in the accusative when the relative pronoun is the direct object in the subordinate clause
You need a relative pronoun in the accusative when the relative pronoun is the direct object in the subordinate clause	Man braucht ein Relativpronomen im Akkusativ, wenn das Relativpronomen das direkte Objekt im Nebensatz ist
Das blaue Sofa ist sehr bequem	The blue sofa is very comfortable
The blue sofa is very comfortable	Das blaue Sofa ist sehr bequem
Das Aquarium steht neben dem Sofa	The aquarium is next to the sofa
The aquarium is next to the sofa	Das Aquarium steht neben dem Sofa
Die beiden Kinderzimmer liegen im ersten Stock	Both children's rooms are on the first floor
Both children's rooms are on the first floor	Die beiden Kinderzimmer liegen im ersten Stock
Der Teppich hat ein schönes Muster	The carpet has a beautiful pattern
The carpet has a beautiful pattern	Der Teppich hat ein schönes Muster
Die Regale sind noch leer	The shelves are still empty
The shelves are still empty	Die Regale sind noch leer
Siehst du den großen Apfelbaum, der im Garten steht?	Do you see the big apple tree that's in the garden?
Do you see the big apple tree that's in the garden?	Siehst du den großen Apfelbaum, der im Garten steht?
Der Flur verbindet die Räume und ist sehr lang	The hallway connects the rooms and is very long
The hallway connects the rooms and is very long	Der Flur verbindet die Räume und ist sehr lang
Der Kleiderschrank hat drei Türen	The wardrobe has three doors
The wardrobe has three doors	Der Kleiderschrank hat drei Türen
Der Schuhschrank steht im Flur	The shoe cabinet is in the hallway
The shoe cabinet is in the hallway	Der Schuhschrank steht im Flur
Die Küche hat eine Terrasse	The kitchen has a terrace
The kitchen has a terrace	Die Küche hat eine Terrasse
Das ist der Baum, den meine Eltern für mich gepflanzt haben	This is the tree my parents planted for me
This is the tree my parents planted for me	Das ist der Baum, den meine Eltern für mich gepflanzt haben
Wir haben das Haus restauriert	We renovated the house
We renovated the house	Wir haben das Haus restauriert
Das Haus steht zum Verkauf	The house is for sale
The house is for sale	Das Haus steht zum Verkauf
Ich kann die Relativpronomen im Nominativ und Akkusativ nennen und unterscheiden	I can name and distinguish between the relative pronouns in the nominative and accusative
