Es gibt einen Parkplatz vor dem Haus	There is a parking space in front of the house
There is a parking space in front of the house	Es gibt einen Parkplatz vor dem Haus
Die Wohnung ist alt, es ist eine Altbauwohnung	The apartment is old, it is an old building
The apartment is old, it is an old building	Die Wohnung ist alt, es ist eine Altbauwohnung
Die Kaltmiete ist 830 Euro	The cold rent is 830 euros
The cold rent is 830 euros	Die Kaltmiete ist 830 Euro
Louise braucht Hilfe bei der Wohnungssuche	Louise needs help finding an apartment
Louise needs help finding an apartment	Louise braucht Hilfe bei der Wohnungssuche
Die Wohnung ist alt, dunkel und klein	The apartment is old, dark and small
The apartment is old, dark and small	Die Wohnung ist alt, dunkel und klein
Die neue Wohnung muss gemütlich sein	The new apartment must be comfortable
The new apartment must be comfortable	Die neue Wohnung muss gemütlich sein
Die Wohnung ist komplett modernisiert	The apartment is completely modernized
The apartment is completely modernized	Die Wohnung ist komplett modernisiert
Fragen an den Vermieter oder die Vermieterin	Questions for the landlord or landlady
Questions for the landlord or landlady	Fragen an den Vermieter oder die Vermieterin
Wie hoch ist die Miete?	How much is the rent?
How much is the rent?	Wie hoch ist die Miete?
Muss ich eine Kaution zahlen?	Do I have to pay a deposit?
Do I have to pay a deposit?	Muss ich eine Kaution zahlen?
Wann kann ich einziehen?	When can I move in?
When can I move in?	Wann kann ich einziehen?
die Kaltmiete, die Nebenkosten (NK), das Baujahr, der Altbau, die Altbauwohnung, die Ausstattung, die Einbauküche, der Keller, der Garten	the cold rent, the additional costs (NK), the year of construction, the old building, the old building apartment, the equipment, the fitted kitchen, the cellar, the garden
the cold rent, the additional costs (NK), the year of construction, the old building, the old building apartment, the equipment, the fitted kitchen, the cellar, the garden	die Kaltmiete, die Nebenkosten (NK), das Baujahr, der Altbau, die Altbauwohnung, die Ausstattung, die Einbauküche, der Keller, der Garten
Bushaltestelle 10 Minuten entfernt	Bus stop 10 minutes away
Bus stop 10 minutes away	Bushaltestelle 10 Minuten entfernt
Die Umgebung ist ruhiger und schöner als bei der ersten Wohnung	The environment is quieter and more beautiful than the first apartment
The environment is quieter and more beautiful than the first apartment	Die Umgebung ist ruhiger und schöner als bei der ersten Wohnung
Meine neue Wohnung soll neuer, heller und größer sein. Aber sie soll nicht viel teurer sein	My new apartment should be newer, brighter and bigger. But it shouldn't be much more expensive
