Das Krankenhaus ist nur 5 Gehminuten entfernt	The hospital is only a 5-minute walk away
The hospital is only a 5-minute walk away	Das Krankenhaus ist nur 5 Gehminuten entfernt
Im Zentrum gibt es viele Geschäfte	There are many shops in the center
There are many shops in the center	Im Zentrum gibt es viele Geschäfte
Es gibt eine Apotheke in der Straße	There is a pharmacy across the street
There is a pharmacy across the street	Es gibt eine Apotheke in der Straße
Die Bank ist an der Ecke	The bank is on the corner
The bank is on the corner	Die Bank ist an der Ecke
Die Drogerie ist neben dem Supermarkt	The drugstore is next to the supermarket
The drugstore is next to the supermarket	Die Drogerie ist neben dem Supermarkt
Morgen gehen wir ins Theater	We're going to the theater tomorrow
We're going to the theater tomorrow	Morgen gehen wir ins Theater
Auf dem Markt gibt es heute frisches Gemüse, Obst und Blumen	The market today has fresh vegetables, fruit and flowers
The market today has fresh vegetables, fruit and flowers	Auf dem Markt gibt es heute frisches Gemüse, Obst und Blumen
Im Park fahren viele Menschen mit dem Fahrrad	Many people ride bicycles in the park
Many people ride bicycles in the park	Im Park fahren viele Menschen mit dem Fahrrad
Der Dom steht in der Innenstadt	The cathedral is in the city center
The cathedral is in the city center	Der Dom steht in der Innenstadt
Die Ampel wird gleich grün, die Autofahrer können fahren	The traffic light is about to turn green, and drivers can drive
The traffic light is about to turn green, and drivers can drive	Die Ampel wird gleich grün, die Autofahrer können fahren
Sie studiert gerne an der Universität	She enjoys studying at the university
She enjoys studying at the university	Sie studiert gerne an der Universität
Sie möchte das Buch aus der Buchhandlung kaufen	She wants to buy the book from the bookstore
She wants to buy the book from the bookstore	Sie möchte das Buch aus der Buchhandlung kaufen
Das ist ein kleiner, aber sehr süßer Laden	This is a small but very cute shop
This is a small but very cute shop	Das ist ein kleiner, aber sehr süßer Laden
Die Hauptstraße führt ins Stadtzentrum	The main street leads to the city center
The main street leads to the city center	Die Hauptstraße führt ins Stadtzentrum
Karin kommt heute am Flughafen an	Karin arrives at the airport today
Karin arrives at the airport today	Karin kommt heute am Flughafen an
In New York gibt es viele Hochhäuser	There are many skyscrapers in New York
There are many skyscrapers in New York	In New York gibt es viele Hochhäuser
Das ist die Brücke von San Francisco	This is the San Francisco bridge
This is the San Francisco bridge	Das ist die Brücke von San Francisco
In der Oper wird viel gesungen	There is a lot of singing in the opera
There is a lot of singing in the opera	In der Oper wird viel gesungen
Ich kann den Wortschatz zum Thema Stadtleben sicher anwenden	I can confidently use vocabulary related to city life
I can confidently use vocabulary related to city life	Ich kann den Wortschatz zum Thema Stadtleben sicher anwenden
Ich kann über meine Heimatstadt reden	I can talk about my hometown
I can talk about my hometown	Ich kann über meine Heimatstadt reden
Der Supermarkt ist gleich an der Ecke und der Park ist nur 5 Gehminuten entfernt	The supermarket is just on the corner and the park is only a 5-minute walk away
The supermarket is just on the corner and the park is only a 5-minute walk away	Der Supermarkt ist gleich an der Ecke und der Park ist nur 5 Gehminuten entfernt
Die Ampel wird gleich rot, die Autos müssen dann anhalten	The traffic light is about to turn red and the cars have to stop
The traffic light is about to turn red and the cars have to stop	Die Ampel wird gleich rot, die Autos müssen dann anhalten
Das ist mein Lieblingsladen. Hier kaufe ich gerne alte Schallplatten	This is my favorite store. I like to buy old records here
This is my favorite store. I like to buy old records here	Das ist mein Lieblingsladen. Hier kaufe ich gerne alte Schallplatten
Ein Tante-Emma-Laden ist ein kleines, lokales Geschäft, das normalerweise von einer einzelnen Person oder einer kleinen Familie betrieben wird	A corner shop is a small, local business, usually run by a single person or small family
A corner shop is a small, local business, usually run by a single person or small family	Ein Tante-Emma-Laden ist ein kleines, lokales Geschäft, das normalerweise von einer einzelnen Person oder einer kleinen Familie betrieben wird
Was machst du, wenn du in den Park gehst? Entspannst du dich dort? Gehst du lieber allein oder lieber in Gesellschaft?	What do you do when you go to the park? Do you relax there? Do you prefer to go alone or in company?
What do you do when you go to the park? Do you relax there? Do you prefer to go alone or in company?	Was machst du, wenn du in den Park gehst? Entspannst du dich dort? Gehst du lieber allein oder lieber in Gesellschaft?
Gibt es Kirchen und Dome in deiner Heimat?	Are there churches and cathedrals in your home country?
Are there churches and cathedrals in your home country?	Gibt es Kirchen und Dome in deiner Heimat?
Das ist ein berühmter Laden	This is a famous store
This is a famous store	Das ist ein berühmter Laden
Er ist gerade in einer Vorlesung an der Universität	He's in a lecture at the university right now
He's in a lecture at the university right now	Er ist gerade in einer Vorlesung an der Universität
In der Buchhandlung gibt es eine große Menge an Büchern	There is a large amount of books in the bookstore
There is a large amount of books in the bookstore	In der Buchhandlung gibt es eine große Menge an Büchern
Berichtet von euren Heimatstädten. Was gibt es zu sehen und zu besichtigen?	Tell about your hometowns. What is there to see and to visit?
Tell about your hometowns. What is there to see and to visit?	Berichtet von euren Heimatstädten. Was gibt es zu sehen und zu besichtigen?
Meine Heimatstadt ist sehr klein. Es gibt wenig Verkehr, aber viel Natur. Man kann wandern gehen oder mit dem Fahrrad eine Radtour machen. Zum Shoppen muss man in die nächste Stadt fahren	My hometown is very small. There is little traffic, but a lot of nature. You can go hiking or take a bike ride. For shopping you have to go to the next town
My hometown is very small. There is little traffic, but a lot of nature. You can go hiking or take a bike ride. For shopping you have to go to the next town	Meine Heimatstadt ist sehr klein. Es gibt wenig Verkehr, aber viel Natur. Man kann wandern gehen oder mit dem Fahrrad eine Radtour machen. Zum Shoppen muss man in die nächste Stadt fahren
Für all das ist Münster berühmt	Münster is famous for all of this
Münster is famous for all of this	Für all das ist Münster berühmt
Auf dem Markt können wir dann Obst kaufen und in einem der Parks ein Picknick machen	We can then buy fruit at the market and have a picnic in one of the parks
We can then buy fruit at the market and have a picnic in one of the parks	Auf dem Markt können wir dann Obst kaufen und in einem der Parks ein Picknick machen
Ich freue mich auf ihren Besuch!	I am looking forward to your visit!
I am looking forward to your visit!	Ich freue mich auf ihren Besuch!
Sonia und ihre Freundin sind in Münster unterwegs	Sonia and her friend are in Münster
Sonia and her friend are in Münster	Sonia und ihre Freundin sind in Münster unterwegs
Die Kirche ist in der Innenstadt, lass uns hingehen!	The church is downtown, let's go!
The church is downtown, let's go!	Die Kirche ist in der Innenstadt, lass uns hingehen!
Stelle deiner Freundin Fragen und äußere Wünsche	Ask your girlfriend questions and external requests
Ask your girlfriend questions and external requests	Stelle deiner Freundin Fragen und äußere Wünsche
Antworte auf die Fragen und gehe auf die Wünsche von Sonia ein	Answer the questions and respond to Sonia's wishes
Answer the questions and respond to Sonia's wishes	Antworte auf die Fragen und gehe auf die Wünsche von Sonia ein
Redewendung: die ewige Stadt. Bedeutung: Rom	Idiom: the eternal city. Meaning: Rome
Idiom: the eternal city. Meaning: Rome	Redewendung: die ewige Stadt. Bedeutung: Rom
Dieses Jahr mache ich Urlaub in der ewigen Stadt. (== Rom!)	This year I'm vacationing in the Eternal City. (== Rome!)
This year I'm vacationing in the Eternal City. (== Rome!)	Dieses Jahr mache ich Urlaub in der ewigen Stadt. (== Rom!)
Heute wird Mozarts Zauberflöte in der Oper aufgeführt	Today Mozart's Magic Flute is being performed at the opera
Today Mozart's Magic Flute is being performed at the opera	Heute wird Mozarts Zauberflöte in der Oper aufgeführt
Heute fahren wir zum Flughafen und fliegen in den Urlaub	Today we drive to the airport and fly on vacation
Today we drive to the airport and fly on vacation	Heute fahren wir zum Flughafen und fliegen in den Urlaub
Die Post hat heute geschlossen. Ich kann meinen Brief nicht abschicken	The post office is closed today. I can't send my letter
The post office is closed today. I can't send my letter	Die Post hat heute geschlossen. Ich kann meinen Brief nicht abschicken
Ich arbeite seit heute in einem Hochhaus. Aus meinem Büro habe ich einen tollen Ausblick	I'm working in a skyscraper since today. I have a great view from my office
I'm working in a skyscraper since today. I have a great view from my office	Ich arbeite seit heute in einem Hochhaus. Aus meinem Büro habe ich einen tollen Ausblick
Heute fahren wir über die Brücke. Man kann die Schiffe unten im Fluss sehen	Today we drive over the bridge. You can see the ships in the river below
Today we drive over the bridge. You can see the ships in the river below	Heute fahren wir über die Brücke. Man kann die Schiffe unten im Fluss sehen
Gibt es Märkte in deiner Heimat? Was für Märkte sind das?	Are there markets in your home country? What kind of markets are these?
Are there markets in your home country? What kind of markets are these?	Gibt es Märkte in deiner Heimat? Was für Märkte sind das?
Hier kann ich Medikamente kaufen	I can buy medicine here
I can buy medicine here	Hier kann ich Medikamente kaufen
Hier ist Gott zu Hause	God is at home here
God is at home here	Hier ist Gott zu Hause
Hier kann ich Briefe versenden	I can send letters here
I can send letters here	Hier kann ich Briefe versenden
Städteurlaub. Welche Stadt möchtest du gerne besuchen? Begründe! Was möchtest du besichtigen?	City vacation. Which city would you like to visit? Justify! What would you like to visit?
City vacation. Which city would you like to visit? Justify! What would you like to visit?	Städteurlaub. Welche Stadt möchtest du gerne besuchen? Begründe! Was möchtest du besichtigen?
Ein Dom ist eine besonders große Kirche	A cathedral is a particularly large church
A cathedral is a particularly large church	Ein Dom ist eine besonders große Kirche
Münster ist bekannt für ihren großen Dom und die vielen Kirchen	Münster is known for its large cathedral and many churches
Münster is known for its large cathedral and many churches	Münster ist bekannt für ihren großen Dom und die vielen Kirchen
Viele junge Menschen studieren an der Universität	Many young people study at the university
Many young people study at the university	Viele junge Menschen studieren an der Universität
Die alte Oper ist eine weitere Sehenswürdigkeit in Münster	The old opera is another attraction in Munster
The old opera is another attraction in Munster	Die alte Oper ist eine weitere Sehenswürdigkeit in Münster
Was kannst du auf dem Bild erkennen?	What can you recognize in the picture?
What can you recognize in the picture?	Was kannst du auf dem Bild erkennen?
Was siehst du auf dem Bild?	What do you see in the picture?
