Oma Gerda hat viel Lebenserfahrung gesammelt	Grandma Gerda has gained a lot of life experience
Grandma Gerda has gained a lot of life experience	Oma Gerda hat viel Lebenserfahrung gesammelt
Es ist nicht in Ordnung, die Schule zu schwänzen	It's not okay to skip school
It's not okay to skip school	Es ist nicht in Ordnung, die Schule zu schwänzen
Ich wünsche mir, dass wir morgen ins Restaurant gehen	I wish we go to the restaurant tomorrow
I wish we go to the restaurant tomorrow	Ich wünsche mir, dass wir morgen ins Restaurant gehen
Er spart, weil er Urlaub machen will	He saves because he wants to go on vacation
He saves because he wants to go on vacation	Er spart, weil er Urlaub machen will
Ich übe, weil ich Klavier spielen möchte	I practice because I want to play the piano
I practice because I want to play the piano	Ich übe, weil ich Klavier spielen möchte
Ich lade dich zum Essen ein, weil du heute Geburtstag hast	I invite you to dinner because today is your birthday
I invite you to dinner because today is your birthday	Ich lade dich zum Essen ein, weil du heute Geburtstag hast
Dass-Sätze stehen nach Ausdrücken des Wahrnehmens, des Denkens oder Fühlens, z. B. glauben, denken, annehmen, überzeugt sein von etc	Dass-sentences stand after expressions of perception, thought or feelings, e.g. believe, think, assume, be convinced of etc
Dass-sentences stand after expressions of perception, thought or feelings, e.g. believe, think, assume, be convinced of etc	Dass-Sätze stehen nach Ausdrücken des Wahrnehmens, des Denkens oder Fühlens, z. B. glauben, denken, annehmen, überzeugt sein von etc
Das Verb steht im dass-Satz immer am Satzende. Beispiel: Ich glaube, dass es heute regnet	The verb always stands at the end of the dass-sentence. Example: I think it will rain today
The verb always stands at the end of the dass-sentence. Example: I think it will rain today	Das Verb steht im dass-Satz immer am Satzende. Beispiel: Ich glaube, dass es heute regnet
Weil leitet einen Nebensatz ein	"Weil" introduces a subordinate clause
"Weil" introduces a subordinate clause	Weil leitet einen Nebensatz ein
Im Nebensatz mit weil steht das Verb am Satzende. Beispiel: Ich lade dich zum Essen ein, weil du heute Geburtstag hast	In the subordinate with "weil", the verb stands at the end of the sentence. Example: I invite you to dinner because today is your birthday
In the subordinate with "weil", the verb stands at the end of the sentence. Example: I invite you to dinner because today is your birthday	Im Nebensatz mit weil steht das Verb am Satzende. Beispiel: Ich lade dich zum Essen ein, weil du heute Geburtstag hast
Wenn der weil-Satz vor dem Hauptsatz steht, steht das Verb im Hauptsatz auf Position 1	When the "weil"-clause stands before the main clause, the verb is in position 1 in the main clause
When the "weil"-clause stands before the main clause, the verb is in position 1 in the main clause	Wenn der weil-Satz vor dem Hauptsatz steht, steht das Verb im Hauptsatz auf Position 1
Weil das Büro so groß ist, können zwei Personen darin arbeiten	Because the office is so big, two people can work in it
Because the office is so big, two people can work in it	Weil das Büro so groß ist, können zwei Personen darin arbeiten
Ich glaube, dass das kein Problem ist	I believe that is not a problem
I believe that is not a problem	Ich glaube, dass das kein Problem ist
Ich denke, dass es heute sogar gewittern wird	I think there will even be thunderstorms today
I think there will even be thunderstorms today	Ich denke, dass es heute sogar gewittern wird
Überlege dir ein Thema. Schreibe einen kurzen Text über dieses Thema	Think of a topic. Write a short text on this topic
Think of a topic. Write a short text on this topic	Überlege dir ein Thema. Schreibe einen kurzen Text über dieses Thema
Äußere deine Meinung, Bedenken und Wünsche bezüglich des Themas	Express your opinion, concerns and wishes regarding the topic
Express your opinion, concerns and wishes regarding the topic	Äußere deine Meinung, Bedenken und Wünsche bezüglich des Themas
Weil das viel zu teuer ist, können wir auch einfach einen Film ansehen	Because it's far too expensive, we can also simply watch a movie
Because it's far too expensive, we can also simply watch a movie	Weil das viel zu teuer ist, können wir auch einfach einen Film ansehen
Wenn der weil-Satz vor dem Hauptsatz steht, dann steht das Verb im Hauptsatz direkt nach dem Komma	When the "weil"-clause stands before the main clause, then the verb in the main clause comes directly after the comma
When the "weil"-clause stands before the main clause, then the verb in the main clause comes directly after the comma	Wenn der weil-Satz vor dem Hauptsatz steht, dann steht das Verb im Hauptsatz direkt nach dem Komma
Weil das Museum neu ist, besuchen wir es	Because the museum is new, we visit it
Because the museum is new, we visit it	Weil das Museum neu ist, besuchen wir es
Weil der Laden zu ist, geht sie nach Hause	Because the store is closed, she goes home
Because the store is closed, she goes home	Weil der Laden zu ist, geht sie nach Hause
Weil ihr gern tanzt, gehen wir in die Disco	Because you guys like to dance, let's go to the disco
Because you guys like to dance, let's go to the disco	Weil ihr gern tanzt, gehen wir in die Disco
Ich arbeite, weil ich Geld verdienen muss	I work because I have to earn money
I work because I have to earn money	Ich arbeite, weil ich Geld verdienen muss
Er weint, weil er traurig ist	He cries because he is sad
He cries because he is sad	Er weint, weil er traurig ist
Sie weiß viel, weil sie viel liest	She knows a lot because she reads a lot
She knows a lot because she reads a lot	Sie weiß viel, weil sie viel liest
Sie gehen nach Hause, weil es schon spät ist	They go home because it's already late
They go home because it's already late	Sie gehen nach Hause, weil es schon spät ist
