Alex gibt Louise einen Kuss auf die Wange	Alex gives Louise a kiss on the cheek
Alex gives Louise a kiss on the cheek	Alex gibt Louise einen Kuss auf die Wange
Das Date ist gelungen	The date is a success
The date is a success	Das Date ist gelungen
Das ist eine großartige Idee!	That's a great idea!
That's a great idea!	Das ist eine großartige Idee!
Alex und Louisa halten Händchen	Alex and Louisa hold hands
Alex and Louisa hold hands	Alex und Louisa halten Händchen
Danach schlägt Tim vor, gemeinsam Essen zu gehen	Afterwards, Tim suggests going out to dinner together
Afterwards, Tim suggests going out to dinner together	Danach schlägt Tim vor, gemeinsam Essen zu gehen
Zum Glück! Das ist das langweiligste Museum!	Lucky! This is the most boring museum!
Lucky! This is the most boring museum!	Zum Glück! Das ist das langweiligste Museum!
Sie ist begeistert von ihrer neuen Wohnung	She is thrilled with her new apartment
She is thrilled with her new apartment	Sie ist begeistert von ihrer neuen Wohnung
Ich muss ehrlich sagen, dass ich das Museum ein bisschen langweilig finde	I have to be honest and say that I find the museum a bit boring
I have to be honest and say that I find the museum a bit boring	Ich muss ehrlich sagen, dass ich das Museum ein bisschen langweilig finde
Das ist der/die/das leckerste ..., den/die/das ich je gegessen habe!	This is the tastiest thing I've ever eaten!
This is the tastiest thing I've ever eaten!	Das ist der/die/das leckerste ..., den/die/das ich je gegessen habe!
Vielen Dank, dass du mir dieses Restaurant gezeigt hast!	Thank you for showing me this restaurant!
Thank you for showing me this restaurant!	Vielen Dank, dass du mir dieses Restaurant gezeigt hast!
Das ist die spannendste und schönste Oper!	This is the most exciting and beautiful opera!
This is the most exciting and beautiful opera!	Das ist die spannendste und schönste Oper!
Ich habe noch nie eine bessere Oper gesehen!	I have never seen a better opera!
I have never seen a better opera!	Ich habe noch nie eine bessere Oper gesehen!
In meinem Land ist es typisch, dass …	In my country it is typical that
In my country it is typical that	In meinem Land ist es typisch, dass …
In meinem Land ist es ähnlich wie in Deutschland, aber …	In my country it is similar as in Germany, but
In my country it is similar as in Germany, but	In meinem Land ist es ähnlich wie in Deutschland, aber …
In meinem Land ist das Thema … kompliziert, weil …	In my country the topic is...complicated because
In my country the topic is...complicated because	In meinem Land ist das Thema … kompliziert, weil …
Welche Wörter und/oder Aktivitäten zum Thema Das erste Date fallen dir noch ein?	What words and/or activities can you think of about the first date?
What words and/or activities can you think of about the first date?	Welche Wörter und/oder Aktivitäten zum Thema Das erste Date fallen dir noch ein?
Tim und Fiona gehen für ihr erstes Date in ein Museum	Tim and Fiona go for their first date to a museum
Tim and Fiona go for their first date to a museum	Tim und Fiona gehen für ihr erstes Date in ein Museum
Tim hat extra Eintrittskarten für eine interessante neue Ausstellung gekauft	Tim bought extra tickets for an interesting new exhibition
Tim bought extra tickets for an interesting new exhibition	Tim hat extra Eintrittskarten für eine interessante neue Ausstellung gekauft
Fiona möchte als erstes diese neue Ausstellung besichtigen	Fiona wants to see this new exhibition first
Fiona wants to see this new exhibition first	Fiona möchte als erstes diese neue Ausstellung besichtigen
Sie ist ganz begeistert	She is quite excited
She is quite excited	Sie ist ganz begeistert
Das Date lief super	The date went great
The date went great	Das Date lief super
Alex ist nervös, weil er heute das erste richtige Date mit Louise hat	Alex is nervous because today is his first real date with Louise
Alex is nervous because today is his first real date with Louise	Alex ist nervös, weil er heute das erste richtige Date mit Louise hat
Er möchte, dass es perfekt wird, weil er Louise beeindrucken möchte	He wants it to be perfect because he wants to impress Louise
He wants it to be perfect because he wants to impress Louise	Er möchte, dass es perfekt wird, weil er Louise beeindrucken möchte
Zuerst besichtigen Alex und Louise den Berliner Dom, weil Louise ihn noch nie von innen gesehen hat	First, Alex and Louise visit the Berlin Cathedral because Louise has never seen it from the inside
