Temporaladverbien werden nicht konjugiert und nicht dekliniert	Temporal adverbs are not conjugated and not declined
Temporal adverbs are not conjugated and not declined	Temporaladverbien werden nicht konjugiert und nicht dekliniert
Temporaladverbien helfen, die Zeit anzugeben	Temporal adverbs help the time to indicate
Temporal adverbs help the time to indicate	Temporaladverbien helfen, die Zeit anzugeben
Temporaladverbien stehen vor oder nach dem konjugierten Verb	Temporal adverbs stand before or after the conjugated verb
Temporal adverbs stand before or after the conjugated verb	Temporaladverbien stehen vor oder nach dem konjugierten Verb
Temporaladverbien -> ?	? -> abends, morgens, früher, später, montags, samstags
? -> abends, morgens, früher, später, montags, samstags	Temporaladverbien -> ?
"Später" braucht meistens Futur oder Präsens. "Früher" braucht eine Vergangenheitsform	“Later” usually needs future or present tense. “Before” needs a past tense
“Later” usually needs future or present tense. “Before” needs a past tense	"Später" braucht meistens Futur oder Präsens. "Früher" braucht eine Vergangenheitsform
Früher habe ich morgens geduscht, jetzt dusche ich abends	I used to shower in the morning, now I shower in the evening
I used to shower in the morning, now I shower in the evening	Früher habe ich morgens geduscht, jetzt dusche ich abends
Wochentage und Tageszeiten als Temporaladverbien werden immer klein geschrieben und enden auf -s	Days of the week and times of day as temporal adverbs are always written in lower case and end in -s
Days of the week and times of day as temporal adverbs are always written in lower case and end in -s	Wochentage und Tageszeiten als Temporaladverbien werden immer klein geschrieben und enden auf -s
Abends wird es dunkel	It gets dark in the evening
It gets dark in the evening	Abends wird es dunkel
Lisa steht um 7 Uhr morgens auf	Lisa gets up at 7 a.m mornings
Lisa gets up at 7 a.m mornings	Lisa steht um 7 Uhr morgens auf
Früher gab es noch keine Handys	There used to be no cell phones
There used to be no cell phones	Früher gab es noch keine Handys
Sie geht mittags mit ihren Arbeitskollegen essen	She goes lunchtime with her work colleagues eating
She goes lunchtime with her work colleagues eating	Sie geht mittags mit ihren Arbeitskollegen essen
Abends schaue ich den Sonnenuntergang an	In the evening I watch the sunset
In the evening I watch the sunset	Abends schaue ich den Sonnenuntergang an
Der Schulbus holt mich immer um 8 Uhr morgens ab	The school bus always picks me up at 8 a.m
The school bus always picks me up at 8 a.m	Der Schulbus holt mich immer um 8 Uhr morgens ab
Zuerst, dann, früher, später sind temporale Adverbien	First, then, earlier, later are temporal adverbs
First, then, earlier, later are temporal adverbs	Zuerst, dann, früher, später sind temporale Adverbien
Das temporale Adverb von Montag lautet "montags"	The temporal adverb of Monday is "Mondays"
The temporal adverb of Monday is "Mondays"	Das temporale Adverb von Montag lautet "montags"
Zuerst zieht sie ihren Schlafanzug an. Dann putzt sie sich die Zähne	First she puts on her pajamas. Then she brushes her teeth
