Das Oktoberfest ist ein interessantes Brauchtum	Oktoberfest is an interesting tradition
Oktoberfest is an interesting tradition	Das Oktoberfest ist ein interessantes Brauchtum
Die Kinder freuen sich über das Büchlein mit der gelben Katze	The children are happy about the booklet with the yellow cat
The children are happy about the booklet with the yellow cat	Die Kinder freuen sich über das Büchlein mit der gelben Katze
Ich habe dir ein leckeres Süppchen gekocht	I made you a delicious (little) soup
I made you a delicious (little) soup	Ich habe dir ein leckeres Süppchen gekocht
Mein Monitor ist kaputt	My monitor is broken
My monitor is broken	Mein Monitor ist kaputt
Du kannst als Redakteurin bei einer Zeitung arbeiten	You can work as an editor at a newspaper
You can work as an editor at a newspaper	Du kannst als Redakteurin bei einer Zeitung arbeiten
Der Schmetterling ist bunt	The butterfly is colorful
The butterfly is colorful	Der Schmetterling ist bunt
Der Anwalt hat viele Akten	The lawyer has a lot of files
The lawyer has a lot of files	Der Anwalt hat viele Akten
In der Konditorei kaufen wir Kuchen	In the pastry shop we buy cakes
In the pastry shop we buy cakes	In der Konditorei kaufen wir Kuchen
In der Manufaktur arbeiten viele Menschen	In the factory many people work
In the factory many people work	In der Manufaktur arbeiten viele Menschen
Die Polizei war schnell vor Ort	The police were quickly on site
The police were quickly on site	Die Polizei war schnell vor Ort
Die Realität ist manchmal hart	The reality is sometimes harsh
The reality is sometimes harsh	Die Realität ist manchmal hart
Deutschland ist eine Republik	Germany is a republic
Germany is a republic	Deutschland ist eine Republik
Endungen für Nomen im Femininum -> ?	-heit, -keit, -ung, -schaft, -in also -ei, -e, -ität, -ik, -ur, -ion
-heit, -keit, -ung, -schaft, -in also -ei, -e, -ität, -ik, -ur, -ion	Endungen für Nomen im Femininum -> ?
Endungen für Nomen im Maskulinum -> ?	-er, -or, -eur, -ismus, -ling
-er, -or, -eur, -ismus, -ling	Endungen für Nomen im Maskulinum -> ?
Endungen für Nomen im Neutrum -> ?	-chen, -lein, -ment, -um, -tum
-chen, -lein, -ment, -um, -tum	Endungen für Nomen im Neutrum -> ?
Ich kann typische Genusendungen erkennen und bilden	I can recognize and build typical gender endings
I can recognize and build typical gender endings	Ich kann typische Genusendungen erkennen und bilden
die Mannschaft	the team
the team	die Mannschaft
die Krankheit, die Dunkelheit	the illness, the darkness
the illness, the darkness	die Krankheit, die Dunkelheit
die Helligkeit, die Einsamkeit	the brightness, the loneliness
the brightness, the loneliness	die Helligkeit, die Einsamkeit
die Lampe, die Musik, die Kultur, die Religion	the lamp, the music, the culture, the religion
the lamp, the music, the culture, the religion	die Lampe, die Musik, die Kultur, die Religion
Manche Endungen bei Nomen zeigen das Genus an	Some endings in nouns indicate the gender
Some endings in nouns indicate the gender	Manche Endungen bei Nomen zeigen das Genus an
der Direktor, der Autor	the director, the author
the director, the author	der Direktor, der Autor
der Redakteur, der Ingenieur	the editor, the engineer
the editor, the engineer	der Redakteur, der Ingenieur
der Pessimismus, der Optimismus, der Idealismus	the pessimism, the optimism, the idealism
the pessimism, the optimism, the idealism	der Pessimismus, der Optimismus, der Idealismus
der Zwilling, der Liebling	the twin, the darling
the twin, the darling	der Zwilling, der Liebling
das Mädchen, das Männchen	the girl, the boy
the girl, the boy	das Mädchen, das Männchen
das Männlein, das Tischlein	the little man, the little table
the little man, the little table	das Männlein, das Tischlein
das Parlament, das Dokument	the parliament, the document
the parliament, the document	das Parlament, das Dokument
das Datum, das Studium	the date, the studies (education)
the date, the studies (education)	das Datum, das Studium
das Eigentum, das Besitztum	the property, the possession
the property, the possession	das Eigentum, das Besitztum
das Erlebnis	the experience
the experience	das Erlebnis
das Ergebnis	the result
the result	das Ergebnis
Cool, aber Kunst ist leider nicht mein Ding	Cool, but unfortunately art isn't my thing
Cool, but unfortunately art isn't my thing	Cool, aber Kunst ist leider nicht mein Ding
Hast du eine andere Option?	Do you have another option?
Do you have another option?	Hast du eine andere Option?
Wie wär’s mit dem DDR-Museum in Mitte?	How about the DDR-Museum in Mitte?
How about the DDR-Museum in Mitte?	Wie wär’s mit dem DDR-Museum in Mitte?
Oh ja, da wollte ich schon immer mal hin	Oh yes, I've always wanted to go there
Oh yes, I've always wanted to go there	Oh ja, da wollte ich schon immer mal hin
Das wird bestimmt ein besonderes Erlebnis	This will definitely be a special experience
This will definitely be a special experience	Das wird bestimmt ein besonderes Erlebnis
Echt? Kunst ist genau mein Ding	Real? Art is exactly my thing
Real? Art is exactly my thing	Echt? Kunst ist genau mein Ding
Erzähle von einer besonderen Freundschaft	Tell about a special friendship
Tell about a special friendship	Erzähle von einer besonderen Freundschaft
Was ist dein Lieblingsmuseum? Warum?	What is your favorite museum? Why?
What is your favorite museum? Why?	Was ist dein Lieblingsmuseum? Warum?
Beschreibe deine Nachbarschaft	Describe your neighborhood
Describe your neighborhood	Beschreibe deine Nachbarschaft
Erfinde eine Geschichte	Make up a story
Make up a story	Erfinde eine Geschichte
Benutze die Wörter und erzähle, was Louise auf dem Konzert erlebt	Use the words and tell what Louise experiences at the concert
Use the words and tell what Louise experiences at the concert	Benutze die Wörter und erzähle, was Louise auf dem Konzert erlebt
Redewendung: "Was Hänschen nicht lernt, lernt Hans nimmer mehr." Bedeutung: Wenn man jung ist, lernt man besser	Saying: "What Hans doesn't learn, Hans will never learn anymore." Meaning: When one is young, one learns better
Saying: "What Hans doesn't learn, Hans will never learn anymore." Meaning: When one is young, one learns better	Redewendung: "Was Hänschen nicht lernt, lernt Hans nimmer mehr." Bedeutung: Wenn man jung ist, lernt man besser
Ich konnte schon als Kind kein Instrument spielen. Jetzt habe ich Gitarre versucht, aber es funktioniert einfach nicht. Es stimmt: Was Hänschen nicht lernt, lernt Hans nimmer mehr	I couldn't play an instrument already as a child. Now I tried guitar but it simply doesn't work. It's true: "What Hans doesn't learn, Hans will never learn anymore"
I couldn't play an instrument already as a child. Now I tried guitar but it simply doesn't work. It's true: "What Hans doesn't learn, Hans will never learn anymore"	Ich konnte schon als Kind kein Instrument spielen. Jetzt habe ich Gitarre versucht, aber es funktioniert einfach nicht. Es stimmt: Was Hänschen nicht lernt, lernt Hans nimmer mehr
Suche dir ein Bild aus und beschreibe es	Pick out a picture and describe it
Pick out a picture and describe it	Suche dir ein Bild aus und beschreibe es
Versuche dabei, so viele Wörter mit Genusendungen wie möglich zu benutzen	Try to use as many words with gender endings as possible
Try to use as many words with gender endings as possible	Versuche dabei, so viele Wörter mit Genusendungen wie möglich zu benutzen
