Welche Vermutung hast du?	What guess do you have?
What guess do you have?	Welche Vermutung hast du?
Du hast bald Geburtstag, es sind nur noch zwei Wochen	It's your birthday soon, there are only two weeks
It's your birthday soon, there are only two weeks	Du hast bald Geburtstag, es sind nur noch zwei Wochen
Welche Ziele hast du?	What goals do you have?
What goals do you have?	Welche Ziele hast du?
Die Wahrsagerin macht eine Vorhersage über meine Zukunft	The fortune teller makes a prediction about my future
The fortune teller makes a prediction about my future	Die Wahrsagerin macht eine Vorhersage über meine Zukunft
Paula wünscht sich, Schauspielerin zu werden	Paula wants to become an actress
Paula wants to become an actress	Paula wünscht sich, Schauspielerin zu werden
Ken und Liliana hoffen, nächstes Jahr ein neues Haus kaufen zu können	Ken and Liliana hope to be able to buy a new house next year
Ken and Liliana hope to be able to buy a new house next year	Ken und Liliana hoffen, nächstes Jahr ein neues Haus kaufen zu können
Bei "pf" werden beide Buchstaben, "p" und "f" zusammen ausgesprochen. Beispiele: Apfel, Topf, Pflanze	With "pf" both letters, "p" and "f" are pronounced together. Examples: apple, pot, plant
With "pf" both letters, "p" and "f" are pronounced together. Examples: apple, pot, plant	Bei "pf" werden beide Buchstaben, "p" und "f" zusammen ausgesprochen. Beispiele: Apfel, Topf, Pflanze
Richard plant / hat den Plan, in Hamburg zu studieren	Richard plans / has the plan to study in Hamburg
Richard plans / has the plan to study in Hamburg	Richard plant / hat den Plan, in Hamburg zu studieren
Larissa hofft, den Job zu bekommen	Larissa hopes to get the job
Larissa hopes to get the job	Larissa hofft, den Job zu bekommen
Wir wünschen uns / haben den Wunsch, ein Haus zu bauen	We wish / have the wish to build a house
We wish / have the wish to build a house	Wir wünschen uns / haben den Wunsch, ein Haus zu bauen
Ich kann ein einfaches Gespräch über Zukunftspläne führen	I can have drive a conversation about future plans
I can have drive a conversation about future plans	Ich kann ein einfaches Gespräch über Zukunftspläne führen
Ich kann Vorhersagen in der Zukunft äußern	I can express predictions in the future
I can express predictions in the future	Ich kann Vorhersagen in der Zukunft äußern
Mein Wahrsager sagt, wenn ich meine Ziele verfolge, dann kann ich ein erfolgreiches Leben führen	My fortune teller says when I pursue my goals then I can lead a successful life
My fortune teller says when I pursue my goals then I can lead a successful life	Mein Wahrsager sagt, wenn ich meine Ziele verfolge, dann kann ich ein erfolgreiches Leben führen
Ich kann reich und berühmt werden	I can become rich and famous
I can become rich and famous	Ich kann reich und berühmt werden
Ich werde viel Geld haben und muss nie wieder arbeiten	I'll have a lot of money and never have to work again
I'll have a lot of money and never have to work again	Ich werde viel Geld haben und muss nie wieder arbeiten
Ich hoffe, dass er recht hat	I hope he's right
I hope he's right	Ich hoffe, dass er recht hat
Wenn das Wörtchen "wenn" nicht wär, dann wäre ich schon Millionär. Was wärst du?	If the word "if" wasn't (there), I would already be a millionaire. What would you be?
If the word "if" wasn't (there), I would already be a millionaire. What would you be?	Wenn das Wörtchen "wenn" nicht wär, dann wäre ich schon Millionär. Was wärst du?
Suche dir ein Thema aus und sprich darüber	Pick a topic and talk about it
Pick a topic and talk about it	Suche dir ein Thema aus und sprich darüber
Erzähle, was dann sein wird. Was passiert als Nächstes? Was brauchst du dafür?	Tell what will be then. What happens next? What do you need for that?
Tell what will be then. What happens next? What do you need for that?	Erzähle, was dann sein wird. Was passiert als Nächstes? Was brauchst du dafür?
Wie wird dein Leben in 20 Jahren aussehen?	What will your life look like in 20 years?
What will your life look like in 20 years?	Wie wird dein Leben in 20 Jahren aussehen?
Was ist dein Lebensziel? Wie arbeitest du auf dieses Ziel hin?	What is your life goal? How are you working towards this goal?
What is your life goal? How are you working towards this goal?	Was ist dein Lebensziel? Wie arbeitest du auf dieses Ziel hin?
Welche Träume, Hoffnungen und Wünsche hast du?	What dreams, hopes and wishes do you have?
What dreams, hopes and wishes do you have?	Welche Träume, Hoffnungen und Wünsche hast du?
John hat keine festen Zukunftspläne	John has no firm plans for the future
John has no firm plans for the future	John hat keine festen Zukunftspläne
Was wird meine Zukunft bringen?	What will my future bring?
What will my future bring?	Was wird meine Zukunft bringen?
Redewendung: nach vorn schauen. Bedeutung: an die (bessere) Zukunft denken	Idiom: to look forward. Meaning: think about the (better) future
Idiom: to look forward. Meaning: think about the (better) future	Redewendung: nach vorn schauen. Bedeutung: an die (bessere) Zukunft denken
Mein Team hat heute verloren, aber wir schauen nach vorn. Das nächste Spiel gewinnen wir	My team lost today, but we are "looking forward". The next game we win
My team lost today, but we are "looking forward". The next game we win	Mein Team hat heute verloren, aber wir schauen nach vorn. Das nächste Spiel gewinnen wir
Wie stellt sie sich ihre Zukunft vor?	How does she imagine her future?
How does she imagine her future?	Wie stellt sie sich ihre Zukunft vor?
Bitte an die Tür klopfen	Please knock on the door
Please knock on the door	Bitte an die Tür klopfen
Wir empfehlen Ihnen heute unser Tagesgericht	We recommend to you today our dish of the day
We recommend to you today our dish of the day	Wir empfehlen Ihnen heute unser Tagesgericht
Im Krieg müssen Soldaten gegeneinander kämpfen	In war, soldiers must fight against each other
In war, soldiers must fight against each other	Im Krieg müssen Soldaten gegeneinander kämpfen
Laura lässt sich gegen Grippe impfen	Laura has a flu shot injected
Laura has a flu shot injected	Laura lässt sich gegen Grippe impfen
Dieses Jahr pflanzen wir Tomaten an	This year we are planting tomatoes
This year we are planting tomatoes	Dieses Jahr pflanzen wir Tomaten an
Das Pferd galoppiert auf der Weide	The horse gallops in the pasture
The horse gallops in the pasture	Das Pferd galoppiert auf der Weide
Sie hat sehr viele Haare auf dem Kopf	She has a lot of hair on her head
