Das solltest du dir nicht entlassen gehen	You shouldn't miss this chance
You shouldn't miss this chance	Das solltest du dir nicht entlassen gehen
Mach dir keinen kopf	Don't worry about it
Don't worry about it	Mach dir keinen kopf
Ich habe die Nase voll	I'm sick of it
I'm sick of it	Ich habe die Nase voll
Lass es dir gut gehen	Let it be well for you
Let it be well for you	Lass es dir gut gehen
Das ist das Letzte	This is the last
This is the last	Das ist das Letzte
Kopf hoch	Cheer up
Cheer up	Kopf hoch
Das ist nicht so mein Ding	That's not really my thing
That's not really my thing	Das ist nicht so mein Ding
Lange nicht gesehen	Long time no see
Long time no see	Lange nicht gesehen
Als ob	As if
As if	Als ob
Ich mache nur Spaß	I'm just having fun
I'm just having fun	Ich mache nur Spaß
Was ist hier los?	What's going on here?
What's going on here?	Was ist hier los?
Bist du von allen guten Geistern verlassen?	Have you lost your mind?
Have you lost your mind?	Bist du von allen guten Geistern verlassen?
Das erklärt einiges	That explains a lot
That explains a lot	Das erklärt einiges
Mach dich nicht lächerlich	Do not make a fool of yourself
Do not make a fool of yourself	Mach dich nicht lächerlich
Als ob ich nichts Besseres zu tun hätte	As if I had nothing better to do
As if I had nothing better to do	Als ob ich nichts Besseres zu tun hätte
Ich lasse es mal darauf ankommen	I'll take my chances
I'll take my chances	Ich lasse es mal darauf ankommen
Ich bin gleich bei dir	I'll be right with you
I'll be right with you	Ich bin gleich bei dir
Der Zug ist abgefahren	The train has left (you missed your chance)
The train has left (you missed your chance)	Der Zug ist abgefahren
Wo waren wir stehen geblieben?	Where were we?
Where were we?	Wo waren wir stehen geblieben?
Ich bin total ausgerastet	I totally freaked out
I totally freaked out	Ich bin total ausgerastet
Das bringt mich auf die Palme	That drives me nuts
That drives me nuts	Das bringt mich auf die Palme
Verschone mich damit	Spare me
Spare me	Verschone mich damit
Machst du Witze?	Are you kidding?
Are you kidding?	Machst du Witze?
Schön für dich	Nice for you
Nice for you	Schön für dich
Du schaffst das!	You can do it!
You can do it!	Du schaffst das!
Das kostet ein halbes Vermögen!	That costs half a fortune!
That costs half a fortune!	Das kostet ein halbes Vermögen!
Ich melde mich bei dir	I'll get back to you
I'll get back to you	Ich melde mich bei dir
Sollen wir Nummern austauschen?	Shall we exchange numbers?
Shall we exchange numbers?	Sollen wir Nummern austauschen?
Kannst du mich anklingeln?	Can you ring me?
Can you ring me?	Kannst du mich anklingeln?
Das ist es nicht Wert	That's not worth it
That's not worth it	Das ist es nicht Wert
Reiß dir zusammen!	Pull yourself together!
Pull yourself together!	Reiß dir zusammen!
Hör auf zu jammern!	Stop whining!
Stop whining!	Hör auf zu jammern!
Ich habe es vermasselt	I messed up
I messed up	Ich habe es vermasselt
Das geschieht dir recht	That serves you right
That serves you right	Das geschieht dir recht
Du wolltest ja nicht auf mich hören	You didn't want to listen to me
You didn't want to listen to me	Du wolltest ja nicht auf mich hören
Du Glückliche/r	Lucky you
Lucky you	Du Glückliche/r
Ich muss jetzt langsam mal los	I have to go now
I have to go now	Ich muss jetzt langsam mal los
Komm doch vorbei	Come on over
Come on over	Komm doch vorbei
Pass auf dich auf	Take care
Take care	Pass auf dich auf
Schönen Feierabend!	Have a nice evening!
Have a nice evening!	Schönen Feierabend!
Schieß los!	Shoot! (go ahead)
Shoot! (go ahead)	Schieß los!
Das hatte ich gar nicht auf dem Schirm	I didn't have that on my radar at all
I didn't have that on my radar at all	Das hatte ich gar nicht auf dem Schirm
Lass gut sein	Let it be
Let it be	Lass gut sein
Habe ich was verpasst?	Did I miss something?
Did I miss something?	Habe ich was verpasst?
Das geht mir nicht mehr aus dem Kopf	I can't get that out of my head
I can't get that out of my head	Das geht mir nicht mehr aus dem Kopf
Ich bin erledigt	I'm done
I'm done	Ich bin erledigt
Das ist eine reine Zeitverschwendung	This is a complete waste of time
This is a complete waste of time	Das ist eine reine Zeitverschwendung
Aufgeschoben ist nicht aufgehoben	Postponed is not cancelled
Postponed is not cancelled	Aufgeschoben ist nicht aufgehoben
Du hast gut reden	It's easy for you to talk
It's easy for you to talk	Du hast gut reden
Ich verlasse mich auf dich	I'm counting on you
I'm counting on you	Ich verlasse mich auf dich
