Ich kann über Berufe sprechen	I can talk about careers
I can talk about careers	Ich kann über Berufe sprechen
Ich kann ein Vorstellungsgespräch auf Deutsch führen	I can conduct an interview in German
I can conduct an interview in German	Ich kann ein Vorstellungsgespräch auf Deutsch führen
Ich kann gut Deutsch sprechen und habe viel Erfahrung	I can speak German well and have a lot of experience
I can speak German well and have a lot of experience	Ich kann gut Deutsch sprechen und habe viel Erfahrung
Aber Schwächen habe ich mit Sicherheit keine!	But I certainly don’t have any weaknesses!
But I certainly don’t have any weaknesses!	Aber Schwächen habe ich mit Sicherheit keine!
Der Lebenslauf, die Zeugnisse und die Berufserfahrung sind sehr wichtig im Bewerbungsverfahren	Your CV, certificates and professional experience are very important in the application process
Your CV, certificates and professional experience are very important in the application process	Der Lebenslauf, die Zeugnisse und die Berufserfahrung sind sehr wichtig im Bewerbungsverfahren
Wenn du langjährige Berufserfahrung hast, kannst du dich um eine gute Stelle bewerben	If you have many years of professional experience, you can apply for a good job
If you have many years of professional experience, you can apply for a good job	Wenn du langjährige Berufserfahrung hast, kannst du dich um eine gute Stelle bewerben
Eduard hat den Beruf des Arztes erlernt	Eduard learned to be a doctor
Eduard learned to be a doctor	Eduard hat den Beruf des Arztes erlernt
Sie beherrscht Englisch in Wort und Schrift	She is fluent in spoken and written English
She is fluent in spoken and written English	Sie beherrscht Englisch in Wort und Schrift
Ein gutes Zeugnis ist wichtig, wenn du eine Arbeitsstelle suchst	A good reference is important if you are looking for a job
A good reference is important if you are looking for a job	Ein gutes Zeugnis ist wichtig, wenn du eine Arbeitsstelle suchst
Im Lebenslauf steht, wo du vorher gearbeitet hast	Your CV states where you previously worked
Your CV states where you previously worked	Im Lebenslauf steht, wo du vorher gearbeitet hast
Persönliche Fähigkeiten sind zum Beispiel Flexibilität und Fleiß	Personal skills include flexibility and hard work
Personal skills include flexibility and hard work	Persönliche Fähigkeiten sind zum Beispiel Flexibilität und Fleiß
Als Personalleiter oder Personalleiterin kümmert man sich um alle Fragen zum Personal	As a human resources manager, you take care of all questions about personnel
As a human resources manager, you take care of all questions about personnel	Als Personalleiter oder Personalleiterin kümmert man sich um alle Fragen zum Personal
Typische Aufgabenbereiche sind z. B. Arbeitsverträge und Bewerbungsprozesse	Typical areas of responsibility include: B. Employment contracts and application processes
Typical areas of responsibility include: B. Employment contracts and application processes	Typische Aufgabenbereiche sind z. B. Arbeitsverträge und Bewerbungsprozesse
der Einzelhandelskaufmann arbeitet in einem Laden und verkauft	the retail clerk works in a store and sells
the retail clerk works in a store and sells	der Einzelhandelskaufmann arbeitet in einem Laden und verkauft
etwas	something
something	etwas
